"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-500000087.aspx?docid=00000000000001";"Artificielles";"Chemin de table Gris uni en tissu non tisse 30 cm X 10 m - choisissez votre coloris: Chemin de table Gris";"Chemin De Table Blanc";"Taille Unique";"4,61 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500000087.aspx?docid=00000000000001";"Artificielles";"Chemin de table Gris uni en tissu non tisse 30 cm X 10 m - choisissez votre coloris: Chemin de table Gris";"Chemin De Table Chocolat";"Taille Unique";"4,61 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500000087.aspx?docid=00000000000001";"Artificielles";"Chemin de table Gris uni en tissu non tisse 30 cm X 10 m - choisissez votre coloris: Chemin de table Gris";"Chemin De Table Fuchsia";"Taille Unique";"4,61 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500000087.aspx?docid=00000000000001";"Artificielles";"Chemin de table Gris uni en tissu non tisse 30 cm X 10 m - choisissez votre coloris: Chemin de table Gris";"Chemin De Table Rouge";"Taille Unique";"4,61 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500000089.aspx?docid=00000000000001";"Artificielles";"Chemin de table Vert Floral en Organdi 28 cm X 5 m - choisissez votre couleur: VERT ANIS";"Fuchsia";"Taille Unique";"12,12 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500064422.aspx?docid=00000000000001";"Toilinux";"Pierres de table décoratives brillantes - Carré - Blanc";"Blanc";"Taille Unique";"5,29 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500065481.aspx?docid=00000000000001";"Toilinux";"Chemin de table - 40 x 140 cm - Blanc et or";"Blanc";"40X145 cm";"6,09 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500065482.aspx?docid=00000000000001";"Toilinux";"Chemin de table - 40 x 140 cm - Blanc et argent";"Blanc";"40X145 cm";"6,09 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500065791.aspx?docid=00000000000001";"Toilinux";"Chemin de table en bambou - L. 150 cm - Blanc";"Blanc";"40X145 cm";"8,39 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500160675.aspx?docid=00000000000001";"Toilinux";"Chemin de table - 40 x 140 cm - Rouge et or";"Rouge";"40X145 cm";"6,09 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500161308.aspx?docid=00000000000001";"Toilinux";"Cavalier de table Miroir - Flocon - Blanc";"Blanc";"Taille Unique";"2,39 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500161309.aspx?docid=00000000000001";"Toilinux";"Cavalier de table Miroir - Sapin - Blanc";"Blanc";"Taille Unique";"2,39 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500161310.aspx?docid=00000000000001";"Toilinux";"Cavalier de table Miroir - Renne - Blanc";"Blanc";"Taille Unique";"2,39 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500161311.aspx?docid=00000000000001";"Toilinux";"Cavalier de table Miroir - Trèfle - Argent";"Argent";"Taille Unique";"2,39 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500161312.aspx?docid=00000000000001";"Toilinux";"Cavalier de table Miroir - Pique - Argent";"Argent";"Taille Unique";"2,39 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500161313.aspx?docid=00000000000001";"Toilinux";"Cavalier de table Miroir - Cur - Argent";"Argent";"Taille Unique";"2,39 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500161314.aspx?docid=00000000000001";"Toilinux";"Cavalier de table Miroir - Carreau - Argent";"Argent";"Taille Unique";"2,39 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500161431.aspx?docid=00000000000001";"Toilinux";"Pierres de table décoratives brillantes - Rond - Rouge";"Rouge";"Taille Unique";"5,29 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500161433.aspx?docid=00000000000001";"Toilinux";"Pierres de table décoratives brillantes - Carré - Rouge";"Rouge";"Taille Unique";"5,29 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500161436.aspx?docid=00000000000001";"Toilinux";"Pierres de table décoratives brillantes - Carré - Violet";"Violet";"Taille Unique";"5,29 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500161437.aspx?docid=00000000000001";"Toilinux";"Pierres de table décoratives brillantes - Rond - Or";"Or";"Taille Unique";"5,29 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500161438.aspx?docid=00000000000001";"Toilinux";"Pierres de table décoratives brillantes - Rond - Bleu glacier";"Bleu";"Taille Unique";"5,29 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500161439.aspx?docid=00000000000001";"Toilinux";"Pierres de table décoratives brillantes - Carré - Bleu glacier";"Bleu";"Taille Unique";"5,29 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500161440.aspx?docid=00000000000001";"Toilinux";"Pierres de table décoratives brillantes - Rond - Chocolat";"Chocolat";"Taille Unique";"5,29 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500161441.aspx?docid=00000000000001";"Toilinux";"Pierres de table décoratives brillantes - Rond - Turquoise";"Turquoise";"Taille Unique";"5,29 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500161442.aspx?docid=00000000000001";"Toilinux";"Pierres de table décoratives brillantes - Carré - Turquoise";"Turquoise";"Taille Unique";"5,29 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500395816.aspx?docid=00000000000001";"Blanc Cerise";"Chemin de table - lin déperlant - bicolore sable et rouge basque";"Sable-Rouge Basque";"45X180 cm";"51,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500395830.aspx?docid=00000000000001";"Blanc Cerise";"Chemin de table celadon - métis - uni, brodé";"Céladon";"45X180 cm";"24,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500395848.aspx?docid=00000000000001";"Blanc Cerise";"Chemin de table celadon - lin déperlant - uni, brodé";"Céladon";"45X180 cm";"43,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500395852.aspx?docid=00000000000001";"Blanc Cerise";"Chemin de table lin - métis - uni, brodé";"Lin";"45X180 cm";"24,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500395862.aspx?docid=00000000000001";"Blanc Cerise";"Chemin de table - métis - bicolore gris et lin";"Gris-Lin";"45X180 cm";"25,60 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500395865.aspx?docid=00000000000001";"Blanc Cerise";"Chemin de table rouge basque - lin déperlant - uni, brodé";"Rouge Basque";"45X180 cm";"43,00 €";"En stock."
