"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-500785533.aspx?docid=00000000000001";"La Redoute";"Chemin de table imprimé pois, Garden Party";"Gris/Blanc";"45X150 cm";"5,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785533.aspx?docid=00000000000001";"La Redoute";"Chemin de table imprimé pois, Garden Party";"Marron Taupe/Blanc";"45X150 cm";"5,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785533.aspx?docid=00000000000001";"La Redoute";"Chemin de table imprimé pois, Garden Party";"Rouge/Blanc";"45X150 cm";"5,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785533.aspx?docid=00000000000001";"La Redoute";"Chemin de table imprimé pois, Garden Party";"Violet/Blanc";"45X150 cm";"5,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785895.aspx?docid=00000000000001";"La Redoute";"Chemin de table tissé-teint pur coton vichy, Garde";"Bleu-Blanc";"45X150 cm";"5,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785895.aspx?docid=00000000000001";"La Redoute";"Chemin de table tissé-teint pur coton vichy, Garde";"Gris/Blanc";"45X150 cm";"5,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785895.aspx?docid=00000000000001";"La Redoute";"Chemin de table tissé-teint pur coton vichy, Garde";"Marron Taupe/Blanc";"45X150 cm";"5,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785895.aspx?docid=00000000000001";"La Redoute";"Chemin de table tissé-teint pur coton vichy, Garde";"Rouge/Blanc";"45X150 cm";"5,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500786121.aspx?docid=00000000000001";"La Redoute";"Chemin de table pur coton, traité anti-tâches, Scé";"Blanc";"45X150 cm";"6,49 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500786121.aspx?docid=00000000000001";"La Redoute";"Chemin de table pur coton, traité anti-tâches, Scé";"Bleu Minéral";"45X150 cm";"6,49 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500786121.aspx?docid=00000000000001";"La Redoute";"Chemin de table pur coton, traité anti-tâches, Scé";"Bleu Orage";"45X150 cm";"6,49 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500786121.aspx?docid=00000000000001";"La Redoute";"Chemin de table pur coton, traité anti-tâches, Scé";"Ecru";"45X150 cm";"6,49 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500786121.aspx?docid=00000000000001";"La Redoute";"Chemin de table pur coton, traité anti-tâches, Scé";"Gris Clair";"45X150 cm";"6,49 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500786121.aspx?docid=00000000000001";"La Redoute";"Chemin de table pur coton, traité anti-tâches, Scé";"Marron Taupe";"45X150 cm";"6,49 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500786121.aspx?docid=00000000000001";"La Redoute";"Chemin de table pur coton, traité anti-tâches, Scé";"Rose Framboise";"45X150 cm";"6,49 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500786121.aspx?docid=00000000000001";"La Redoute";"Chemin de table pur coton, traité anti-tâches, Scé";"Rose Poudré";"45X150 cm";"6,49 €";"En stock."
