"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-153010284.aspx?docid=00000000000001";"La Redoute";"Sous-taie éponge 250g/m² enduite polyuréthane imperméable";"Blanc";"40x60";"9,09 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-153010284.aspx?docid=00000000000001";"La Redoute";"Sous-taie éponge 250g/m² enduite polyuréthane imperméable";"Blanc";"65x65";"13,29 €";""
2;"http://www.laredoute.fr/ppdp/prod-324043643.aspx?docid=00000000000001";"La Redoute";"Housse coussin ou oreiller piqué de coton jacquard, INDO";"Blanc";"40 x 40 cm";"7,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-324043643.aspx?docid=00000000000001";"La Redoute";"Housse coussin ou oreiller piqué de coton jacquard, INDO";"Blanc";"65 x 65 cm";"9,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-324043643.aspx?docid=00000000000001";"La Redoute";"Housse coussin ou oreiller piqué de coton jacquard, INDO";"Gris";"40 x 40 cm";"7,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-324043643.aspx?docid=00000000000001";"La Redoute";"Housse coussin ou oreiller piqué de coton jacquard, INDO";"Gris";"65 x 65 cm";"9,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-324043643.aspx?docid=00000000000001";"La Redoute";"Housse coussin ou oreiller piqué de coton jacquard, INDO";"blanc écru";"40 x 40 cm";"7,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-324043643.aspx?docid=00000000000001";"La Redoute";"Housse coussin ou oreiller piqué de coton jacquard, INDO";"blanc écru";"65 x 65 cm";"9,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-324043643.aspx?docid=00000000000001";"La Redoute";"Housse coussin ou oreiller piqué de coton jacquard, INDO";"gris perle";"40 x 40 cm";"7,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-324043643.aspx?docid=00000000000001";"La Redoute";"Housse coussin ou oreiller piqué de coton jacquard, INDO";"gris perle";"65 x 65 cm";"9,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-324043643.aspx?docid=00000000000001";"La Redoute";"Housse coussin ou oreiller piqué de coton jacquard, INDO";"marron taupe";"40 x 40 cm";"7,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-324043643.aspx?docid=00000000000001";"La Redoute";"Housse coussin ou oreiller piqué de coton jacquard, INDO";"marron taupe";"65 x 65 cm";"9,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-324043643.aspx?docid=00000000000001";"La Redoute";"Housse coussin ou oreiller piqué de coton jacquard, INDO";"taupe clair";"40 x 40 cm";"7,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-324043643.aspx?docid=00000000000001";"La Redoute";"Housse coussin ou oreiller piqué de coton jacquard, INDO";"taupe clair";"65 x 65 cm";"9,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-324043643.aspx?docid=00000000000001";"La Redoute";"Housse coussin ou oreiller piqué de coton jacquard, INDO";"violet violine";"40 x 40 cm";"7,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-324043643.aspx?docid=00000000000001";"La Redoute";"Housse coussin ou oreiller piqué de coton jacquard, INDO";"violet violine";"65 x 65 cm";"9,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-324043643.aspx?docid=00020000000001";"La Redoute";"Housse coussin ou oreiller piqué de coton jacquard, INDO";"beige sable";"40 x 40 cm";"6,00 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-324043643.aspx?docid=00020000000001";"La Redoute";"Housse coussin ou oreiller piqué de coton jacquard, INDO";"beige sable";"65 x 65 cm";"8,00 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-324091031.aspx?docid=00000000000001";"La Redoute";"Housse oreiller matelassée unie";"Blanc";"40 x 40 cm";"7,49 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-324091031.aspx?docid=00000000000001";"La Redoute";"Housse oreiller matelassée unie";"Blanc";"65 x 65 cm";"9,49 €";""
3;"http://www.laredoute.fr/ppdp/prod-324091031.aspx?docid=00000000000001";"La Redoute";"Housse oreiller matelassée unie";"blanc écru";"40 x 40 cm";"7,49 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-324091031.aspx?docid=00000000000001";"La Redoute";"Housse oreiller matelassée unie";"blanc écru";"65 x 65 cm";"9,49 €";"En stock."
