"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-500006471.aspx?docid=00000000000001";"Liou";"Drap-housse Satin Marron glacé";"Marron Glacé";"140X190 cm";"56,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006471.aspx?docid=00000000000001";"Liou";"Drap-housse Satin Marron glacé";"Marron Glacé";"160X200 cm";"61,60 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006471.aspx?docid=00000000000001";"Liou";"Drap-housse Satin Marron glacé";"Marron Glacé";"180X200 cm";"68,60 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006471.aspx?docid=00000000000001";"Liou";"Drap-housse Satin Marron glacé";"Marron Glacé";"200X200 cm";"73,50 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006471.aspx?docid=00000000000001";"Liou";"Drap-housse Satin Marron glacé";"Marron Glacé";"90X190 cm";"49,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006490.aspx?docid=00000000000001";"Liou";"Drap-housse Prune grisé";"Prune Grisé";"140X190 cm";"48,30 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006490.aspx?docid=00000000000001";"Liou";"Drap-housse Prune grisé";"Prune Grisé";"160X200 cm";"52,50 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006490.aspx?docid=00000000000001";"Liou";"Drap-housse Prune grisé";"Prune Grisé";"180X200 cm";"62,30 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006490.aspx?docid=00000000000001";"Liou";"Drap-housse Prune grisé";"Prune Grisé";"200X200 cm";"66,50 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006490.aspx?docid=00000000000001";"Liou";"Drap-housse Prune grisé";"Prune Grisé";"90X190 cm";"41,30 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006534.aspx?docid=00000000000001";"Liou";"Drap-housse Blanc";"Blanc";"140X190 cm";"38,50 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006534.aspx?docid=00000000000001";"Liou";"Drap-housse Blanc";"Blanc";"160X200 cm";"44,10 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006534.aspx?docid=00000000000001";"Liou";"Drap-housse Blanc";"Blanc";"180X200 cm";"51,10 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006534.aspx?docid=00000000000001";"Liou";"Drap-housse Blanc";"Blanc";"200X200 cm";"58,10 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006534.aspx?docid=00000000000001";"Liou";"Drap-housse Blanc";"Blanc";"90X190 cm";"31,50 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006535.aspx?docid=00000000000001";"Liou";"Drap-housse Noir";"Noir";"140X190 cm";"48,30 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006535.aspx?docid=00000000000001";"Liou";"Drap-housse Noir";"Noir";"160X200 cm";"52,50 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006535.aspx?docid=00000000000001";"Liou";"Drap-housse Noir";"Noir";"180X200 cm";"62,30 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006535.aspx?docid=00000000000001";"Liou";"Drap-housse Noir";"Noir";"200X200 cm";"66,50 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006535.aspx?docid=00000000000001";"Liou";"Drap-housse Noir";"Noir";"90X190 cm";"41,30 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006536.aspx?docid=00000000000001";"Liou";"Drap-housse Ivoire";"Ivoire";"140X190 cm";"48,30 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006536.aspx?docid=00000000000001";"Liou";"Drap-housse Ivoire";"Ivoire";"160X200 cm";"52,50 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006536.aspx?docid=00000000000001";"Liou";"Drap-housse Ivoire";"Ivoire";"180X200 cm";"62,30 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006536.aspx?docid=00000000000001";"Liou";"Drap-housse Ivoire";"Ivoire";"200X200 cm";"66,50 €";"En stock."
