"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-500136503.aspx?docid=00020000000001";"La Redoute";"Drap-housse Fairies Jardin des Fées";"Imprimé Blanc";"90X190 cm";"10,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Beige Galet";"120X190 cm";"12,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Beige Galet";"140X190 cm";"13,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Beige Galet";"140X200 cm";"15,59 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Beige Galet";"160X200 cm";"16,79 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Beige Galet";"180X200 cm";"19,79 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Beige Galet";"80X190 cm";"8,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Beige Galet";"90X190 cm";"9,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Beige Galet";"90X200 cm";"12,59 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Blanc";"120X190 cm";"12,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Blanc";"140X190 cm";"13,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Blanc";"140X200 cm";"15,59 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Blanc";"160X200 cm";"16,79 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Blanc";"180X200 cm";"19,79 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Blanc";"80X190 cm";"8,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Blanc";"90X190 cm";"9,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Blanc";"90X200 cm";"12,59 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Bleu Aqua";"120X190 cm";"12,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Bleu Aqua";"140X190 cm";"13,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Bleu Aqua";"140X200 cm";"15,59 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Bleu Aqua";"160X200 cm";"16,79 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Bleu Aqua";"180X200 cm";"19,79 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Bleu Aqua";"80X190 cm";"8,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Bleu Aqua";"90X190 cm";"9,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Bleu Aqua";"90X200 cm";"12,59 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Bleu Orage";"120X190 cm";"12,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Bleu Orage";"140X190 cm";"13,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Bleu Orage";"140X200 cm";"15,59 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Bleu Orage";"160X200 cm";"16,79 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Bleu Orage";"180X200 cm";"19,79 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Bleu Orage";"80X190 cm";"8,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Bleu Orage";"90X190 cm";"9,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Bleu Orage";"90X200 cm";"12,59 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Bleu Turquoise";"120X190 cm";"12,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Bleu Turquoise";"140X190 cm";"13,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Bleu Turquoise";"140X200 cm";"15,59 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772605.aspx?docid=00000000000001";"La Redoute";"Drap-housse coton pour matelas standard";"Bleu Turquoise";"160X200 cm";"16,79 €";"En stock."
