"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-350018364.aspx?docid=00000000000001";"La Redoute";"Drap léger, gaze de lin, Elphir";"Blanc optique";"taille unique";"49,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772392.aspx?docid=00000000000001";"La Redoute";"Drap satin de coton, tissage uni";"Blanc";"180X290 cm";"19,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772392.aspx?docid=00000000000001";"La Redoute";"Drap satin de coton, tissage uni";"Blanc";"240X290 cm";"29,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772392.aspx?docid=00000000000001";"La Redoute";"Drap satin de coton, tissage uni";"Blanc";"270X290 cm";"35,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772392.aspx?docid=00000000000001";"La Redoute";"Drap satin de coton, tissage uni";"Bleu Encre";"180X290 cm";"19,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772392.aspx?docid=00000000000001";"La Redoute";"Drap satin de coton, tissage uni";"Bleu Encre";"240X290 cm";"29,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772392.aspx?docid=00000000000001";"La Redoute";"Drap satin de coton, tissage uni";"Bleu Encre";"270X290 cm";"35,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772392.aspx?docid=00000000000001";"La Redoute";"Drap satin de coton, tissage uni";"Gris Clair";"180X290 cm";"19,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772392.aspx?docid=00000000000001";"La Redoute";"Drap satin de coton, tissage uni";"Gris Clair";"240X290 cm";"29,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772392.aspx?docid=00000000000001";"La Redoute";"Drap satin de coton, tissage uni";"Gris Clair";"270X290 cm";"35,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772392.aspx?docid=00000000000001";"La Redoute";"Drap satin de coton, tissage uni";"Gris Foncé";"180X290 cm";"19,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772392.aspx?docid=00000000000001";"La Redoute";"Drap satin de coton, tissage uni";"Gris Foncé";"240X290 cm";"29,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772392.aspx?docid=00000000000001";"La Redoute";"Drap satin de coton, tissage uni";"Gris Foncé";"270X290 cm";"35,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772392.aspx?docid=00000000000001";"La Redoute";"Drap satin de coton, tissage uni";"Marron Taupe";"180X290 cm";"19,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772392.aspx?docid=00000000000001";"La Redoute";"Drap satin de coton, tissage uni";"Marron Taupe";"240X290 cm";"29,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772392.aspx?docid=00000000000001";"La Redoute";"Drap satin de coton, tissage uni";"Marron Taupe";"270X290 cm";"35,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772392.aspx?docid=00000000000001";"La Redoute";"Drap satin de coton, tissage uni";"Rose Poudré";"180X290 cm";"19,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772392.aspx?docid=00000000000001";"La Redoute";"Drap satin de coton, tissage uni";"Rose Poudré";"240X290 cm";"29,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772392.aspx?docid=00000000000001";"La Redoute";"Drap satin de coton, tissage uni";"Rose Poudré";"270X290 cm";"35,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772392.aspx?docid=00000000000001";"La Redoute";"Drap satin de coton, tissage uni";"Rouge Bordeaux";"180X290 cm";"19,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772392.aspx?docid=00000000000001";"La Redoute";"Drap satin de coton, tissage uni";"Rouge Bordeaux";"240X290 cm";"29,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772392.aspx?docid=00000000000001";"La Redoute";"Drap satin de coton, tissage uni";"Rouge Bordeaux";"270X290 cm";"35,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772392.aspx?docid=00000000000001";"La Redoute";"Drap satin de coton, tissage uni";"Vert Pin";"180X290 cm";"19,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772392.aspx?docid=00000000000001";"La Redoute";"Drap satin de coton, tissage uni";"Vert Pin";"240X290 cm";"29,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772392.aspx?docid=00000000000001";"La Redoute";"Drap satin de coton, tissage uni";"Vert Pin";"270X290 cm";"35,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500774998.aspx?docid=00000000000001";"La Redoute";"Drap Cappadoce";"Bleu-Blanc";"180X290 cm";"21,99 €";""
1;"http://www.laredoute.fr/ppdp/prod-500774998.aspx?docid=00000000000001";"La Redoute";"Drap Cappadoce";"Bleu-Blanc";"240X290 cm";"29,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500774998.aspx?docid=00000000000001";"La Redoute";"Drap Cappadoce";"Bleu-Blanc";"270X290 cm";"39,99 €";"En stock."
