"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
"http://www.laredoute.fr/ppdp/prod-500785663.aspx?docid=00000000000001";"La Redoute";"Galette de chaise capitonnée";"Bleu Canard";"Taille Unique";"8,02 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785663.aspx?docid=00000000000001";"La Redoute";"Galette de chaise capitonnée";"Gris Nuage";"Taille Unique";"8,02 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785663.aspx?docid=00000000000001";"La Redoute";"Galette de chaise capitonnée";"Marron Taupe";"Taille Unique";"8,02 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785663.aspx?docid=00000000000001";"La Redoute";"Galette de chaise capitonnée";"Blanc";"Taille Unique";"8,02 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785663.aspx?docid=00000000000001";"La Redoute";"Galette de chaise capitonnée";"Gris Anthracite";"Taille Unique";"8,02 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785663.aspx?docid=00000000000001";"La Redoute";"Galette de chaise capitonnée";"Blanc Écru";"Taille Unique";"8,02 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785663.aspx?docid=00000000000001";"La Redoute";"Galette de chaise capitonnée";"Rouge Rubis";"Taille Unique";"8,02 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785663.aspx?docid=00000000000001";"La Redoute";"Galette de chaise capitonnée";"Bleu Indigo";"Taille Unique";"8,02 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785663.aspx?docid=00000000000001";"La Redoute";"Galette de chaise capitonnée";"Prune";"Taille Unique";"8,02 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785663.aspx?docid=00020000000001";"La Redoute";"Galette de chaise capitonnée";"Bleu Roi";"Taille Unique";"8,77 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500786114.aspx?docid=00000000000001";"La Redoute";"Housse extensible pour tabouret gaufrée, AHMIS";"Noir";"Taille Unique";"8,02 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500786114.aspx?docid=00000000000001";"La Redoute";"Housse extensible pour tabouret gaufrée, AHMIS";"Anthracite";"Taille Unique";"8,02 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500786114.aspx?docid=00000000000001";"La Redoute";"Housse extensible pour tabouret gaufrée, AHMIS";"Blanc Écru";"Taille Unique";"8,02 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500786114.aspx?docid=00000000000001";"La Redoute";"Housse extensible pour tabouret gaufrée, AHMIS";"Beige Ficelle";"Taille Unique";"8,02 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500786114.aspx?docid=00000000000001";"La Redoute";"Housse extensible pour tabouret gaufrée, AHMIS";"Gris";"Taille Unique";"8,02 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500786114.aspx?docid=00000000000001";"La Redoute";"Housse extensible pour tabouret gaufrée, AHMIS";"Rouge";"Taille Unique";"8,02 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500786114.aspx?docid=00000000000001";"La Redoute";"Housse extensible pour tabouret gaufrée, AHMIS";"Marron Taupe";"Taille Unique";"8,02 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785663.aspx?docid=00020000000001";"La Redoute";"Galette de chaise capitonnée";"Bleu Roi";"Taille Unique";"8,77 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785663.aspx?docid=00000000000001";"La Redoute";"Galette de chaise capitonnée";"Bleu Canard";"Taille Unique";"8,02 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785663.aspx?docid=00000000000001";"La Redoute";"Galette de chaise capitonnée";"Gris Nuage";"Taille Unique";"8,02 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785663.aspx?docid=00000000000001";"La Redoute";"Galette de chaise capitonnée";"Marron Taupe";"Taille Unique";"8,02 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785663.aspx?docid=00000000000001";"La Redoute";"Galette de chaise capitonnée";"Blanc";"Taille Unique";"8,02 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785663.aspx?docid=00000000000001";"La Redoute";"Galette de chaise capitonnée";"Gris Anthracite";"Taille Unique";"8,02 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785663.aspx?docid=00000000000001";"La Redoute";"Galette de chaise capitonnée";"Blanc Écru";"Taille Unique";"8,02 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785663.aspx?docid=00000000000001";"La Redoute";"Galette de chaise capitonnée";"Rouge Rubis";"Taille Unique";"8,02 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785663.aspx?docid=00000000000001";"La Redoute";"Galette de chaise capitonnée";"Bleu Indigo";"Taille Unique";"8,02 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785663.aspx?docid=00000000000001";"La Redoute";"Galette de chaise capitonnée";"Prune";"Taille Unique";"8,02 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500918259.aspx?docid=00000000000001";"Dutch Décor";"Housse galette de chaise 21 Java";"Sable";"45X45 cm";"16,95 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500918259.aspx?docid=00000000000001";"Dutch Décor";"Housse galette de chaise 21 Java";"Taupe";"45X45 cm";"16,95 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500918259.aspx?docid=00000000000001";"Dutch Décor";"Housse galette de chaise 21 Java";"Gris Foncé";"45X45 cm";"16,95 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500416091.aspx?docid=00000000000001";"Home Maison";"Galette de chaise déhoussable outdoor";"Vert";"40X40 cm";"9,03 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500416091.aspx?docid=00000000000001";"Home Maison";"Galette de chaise déhoussable outdoor";"Lin";"40X40 cm";"9,03 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500416091.aspx?docid=00000000000001";"Home Maison";"Galette de chaise déhoussable outdoor";"Chocolat";"40X40 cm";"9,03 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500416091.aspx?docid=00000000000001";"Home Maison";"Galette de chaise déhoussable outdoor";"Beige";"40X40 cm";"9,03 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-501007775.aspx?docid=00000000000001";"Dutch Décor";"Galette de chaise 1 java sable";"Sable";"40X40 cm";"16,95 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500976508.aspx?docid=00000000000001";"Dutch Décor";"Galette de chaise Sunny PK1 44x46x5 cm sable";"Sable";"45X45 cm";"11,95 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-501007774.aspx?docid=00000000000001";"Dutch Décor";"Galette de chaise 1 Java taupe";"Taupe";"40X40 cm";"16,95 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500645411.aspx?docid=00000000000001";"Garnier-Thiebaut";"Galette De Chaise Mille Couleurs Paris";"Multicolore, Vert";"40X40 cm";"32,40 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500869097.aspx?docid=00000000000001";"AchatDesign";"HOUSSE DE CHAISE FITI C";"Noir";"45X45 cm";"42,90 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500869419.aspx?docid=00000000000001";"AchatDesign";"HOUSSE DE CHAISE BLAK B";"Noir";"45X45 cm";"42,90 €";""
"http://www.laredoute.fr/ppdp/prod-500934551.aspx?docid=00000000000001";"Dutch Décor";"Galette de chaise 1 Java gris foncé";"Gris Foncé";"40X40 cm";"16,95 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-501185271.aspx?docid=00000000000001";"Toilinux";"Galette de chaise Ronde - Diam. 40 cm. - Taupe";"Taupe";"Taille Unique";"9,19 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500869583.aspx?docid=00000000000001";"AchatDesign";"HOUSSE DE CHAISE FITI A";"Bleu";"45X45 cm";"42,90 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500552912.aspx?docid=00000000000001";"Basics corner";"Coussin de chaise La ferme";"Multicolore";"40X40 cm";"12,95 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500550930.aspx?docid=00000000000001";"Basics corner";"Coussin de chaise Punchy";"Vert";"40x40 cm";"9,95 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500550930.aspx?docid=00000000000001";"Basics corner";"Coussin de chaise Punchy";"Violet";"40X40 cm";"9,95 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500550930.aspx?docid=00000000000001";"Basics corner";"Coussin de chaise Punchy";"Rouge";"40X40 cm";"9,95 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500550930.aspx?docid=00000000000001";"Basics corner";"Coussin de chaise Punchy";"Noir";"40X40 cm";"9,95 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500162701.aspx?docid=00000000000001";"Toilinux";"Galette de chaise 5 boutons - Gris";"Gris";"40X40 cm";"11,49 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500783925.aspx?docid=00000000000001";"Toilinux";"Galette de chaise 5 Boutons - 40 x 40 cm - Violet";"Violet";"40X40 cm";"11,49 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500162703.aspx?docid=00000000000001";"Toilinux";"Galette de chaise 5 boutons - Lin";"Blanc";"40X40 cm";"11,49 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-501023269.aspx?docid=00000000000001";"Lilie Rose Déco";"Galette de chaise capitonnee Camille";"Rouge";"40X40 cm";"17,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500974603.aspx?docid=00000000000001";"Dutch Décor";"Galette de chaise Timeo 38,5x38,5 cm multi";"Multicolor";"40X40 cm";"10,95 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500783891.aspx?docid=00000000000001";"Toilinux";"Galette de chaise - 40 x 40 cm - Fuschia";"Fuschia";"40X40 cm";"10,59 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500512340.aspx?docid=00000000000001";"AS Discount";"Galette de chaise 8pts 40x40x4 cm  Rouge";"Rouge";"Taille Unique";"13,80 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500976828.aspx?docid=00000000000001";"Dutch Décor";"Galette de chaise Sunny PK2 38.5x38.5 cm streep naturel";"Multicolor";"40X40 cm";"9,95 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500974605.aspx?docid=00000000000001";"Dutch Décor";"Coussin de sol Tobor 43x43 cm multi";"Multicolor";"45X45 cm";"17,95 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500783943.aspx?docid=00000000000001";"Toilinux";"Galette de chaise - 38 x 38 cm - Violet";"Violet";"40X40 cm";"8,19 €";"En stock."
