"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-500001275.aspx?docid=00000000000001";"Lilie Rose Déco";"Galette de chaise Poules beige";"Beige";"40X40 cm";"18,90 €";""
1;"http://www.laredoute.fr/ppdp/prod-500260718.aspx?docid=00000000000001";"AchatDesign";"Coussin pour chaise ego-k COUSSIN EGO-K";"Vert";"40X40 cm";"27,50 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500260718.aspx?docid=00000000000001";"AchatDesign";"Coussin pour chaise ego-k COUSSIN EGO-K";"Violet";"40X40 cm";"27,50 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500501821.aspx?docid=00000000000001";"Madura";"Madura Housse de chaise ajust. PAMPA";"Beige";"60x22 cm";"29,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500501821.aspx?docid=00000000000001";"Madura";"Madura Housse de chaise ajust. PAMPA";"Écru";"60x22 cm";"29,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500501849.aspx?docid=00000000000001";"Madura";"Madura Housse de chaise pli creux PAMPA";"Beige Très Clair";"60x22 cm";"29,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500501849.aspx?docid=00000000000001";"Madura";"Madura Housse de chaise pli creux PAMPA";"Bordeaux Foncé";"60x22 cm";"29,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500501849.aspx?docid=00000000000001";"Madura";"Madura Housse de chaise pli creux PAMPA";"Gris Moyen";"60x22 cm";"29,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500501849.aspx?docid=00000000000001";"Madura";"Madura Housse de chaise pli creux PAMPA";"Orange";"60x22 cm";"29,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500501849.aspx?docid=00000000000001";"Madura";"Madura Housse de chaise pli creux PAMPA";"Violet";"60x22 cm";"29,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500501849.aspx?docid=00000000000001";"Madura";"Madura Housse de chaise pli creux PAMPA";"Écru";"60x22 cm";"29,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500501886.aspx?docid=00000000000001";"Madura";"Madura Housse de chaise pli creux MONTANA";"Gris Foncé";"60x22 cm";"35,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500501886.aspx?docid=00000000000001";"Madura";"Madura Housse de chaise pli creux MONTANA";"Marron Clair";"60x22 cm";"35,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500501886.aspx?docid=00000000000001";"Madura";"Madura Housse de chaise pli creux MONTANA";"Marron";"60x22 cm";"35,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500501886.aspx?docid=00000000000001";"Madura";"Madura Housse de chaise pli creux MONTANA";"Taupe";"60x22 cm";"35,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500501886.aspx?docid=00000000000001";"Madura";"Madura Housse de chaise pli creux MONTANA";"Écru";"60x22 cm";"35,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500501908.aspx?docid=00000000000001";"Madura";"Madura Housse de chaise ajust. MONTANA";"Beige";"60x22 cm";"35,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500501908.aspx?docid=00000000000001";"Madura";"Madura Housse de chaise ajust. MONTANA";"Écru";"60x22 cm";"35,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500550905.aspx?docid=00000000000001";"Basics corner";"Housse de chaise à nouettes Panama";"Marron";"Taille Unique";"12,95 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500550930.aspx?docid=00000000000001";"Basics corner";"Coussin de chaise Punchy";"Noir";"40X40 cm";"9,95 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500550930.aspx?docid=00000000000001";"Basics corner";"Coussin de chaise Punchy";"Rouge";"40X40 cm";"9,95 €";"En stock."
