"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
2;"http://www.laredoute.fr/ppdp/prod-500774719.aspx?docid=00000000000001";"La Redoute";"Housses de chaise (lot de 2)";"Blanc Écru";"Taille Unique";"25,01 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500774719.aspx?docid=00000000000001";"La Redoute";"Housses de chaise (lot de 2)";"Blanc";"Taille Unique";"25,01 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500774719.aspx?docid=00000000000001";"La Redoute";"Housses de chaise (lot de 2)";"Bleu Canard";"Taille Unique";"25,01 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500774719.aspx?docid=00000000000001";"La Redoute";"Housses de chaise (lot de 2)";"Bleu Indigo";"Taille Unique";"25,01 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500774719.aspx?docid=00000000000001";"La Redoute";"Housses de chaise (lot de 2)";"Gris Anthracite";"Taille Unique";"25,01 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500774719.aspx?docid=00000000000001";"La Redoute";"Housses de chaise (lot de 2)";"Gris Nuage";"Taille Unique";"25,01 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500774719.aspx?docid=00000000000001";"La Redoute";"Housses de chaise (lot de 2)";"Jaune Miel";"Taille Unique";"25,01 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500774719.aspx?docid=00000000000001";"La Redoute";"Housses de chaise (lot de 2)";"Marron Taupe";"Taille Unique";"25,01 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500774719.aspx?docid=00000000000001";"La Redoute";"Housses de chaise (lot de 2)";"Noir";"Taille Unique";"25,01 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500774719.aspx?docid=00000000000001";"La Redoute";"Housses de chaise (lot de 2)";"Prune";"Taille Unique";"25,01 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500774719.aspx?docid=00000000000001";"La Redoute";"Housses de chaise (lot de 2)";"Rouge Rubis";"Taille Unique";"25,01 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500774719.aspx?docid=00020000000001";"La Redoute";"Housses de chaise (lot de 2)";"Rouge";"Taille Unique";"24,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500774719.aspx?docid=00020000000001";"La Redoute";"Housses de chaise (lot de 2)";"Vert Menthe";"Taille Unique";"27,49 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785584.aspx?docid=00000000000001";"La Redoute";"Housse extensible pour chaise gaufrée, AHMIS";"Anthracite";"Taille Unique";"14,52 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785584.aspx?docid=00000000000001";"La Redoute";"Housse extensible pour chaise gaufrée, AHMIS";"Beige Ficelle";"Taille Unique";"14,52 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785584.aspx?docid=00000000000001";"La Redoute";"Housse extensible pour chaise gaufrée, AHMIS";"Blanc Écru";"Taille Unique";"14,52 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785584.aspx?docid=00000000000001";"La Redoute";"Housse extensible pour chaise gaufrée, AHMIS";"Gris";"Taille Unique";"14,52 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785584.aspx?docid=00000000000001";"La Redoute";"Housse extensible pour chaise gaufrée, AHMIS";"Marron Taupe";"Taille Unique";"14,52 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785584.aspx?docid=00000000000001";"La Redoute";"Housse extensible pour chaise gaufrée, AHMIS";"Noir";"Taille Unique";"14,52 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785584.aspx?docid=00000000000001";"La Redoute";"Housse extensible pour chaise gaufrée, AHMIS";"Rouge";"Taille Unique";"14,52 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500786786.aspx?docid=00000000000001";"La Redoute";"Housse de chaise, BRIDGY";"Anthracite / Gris Clair";"Taille Unique";"13,02 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500786786.aspx?docid=00000000000001";"La Redoute";"Housse de chaise, BRIDGY";"Beige Galet/Taupe";"Taille Unique";"13,02 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500786786.aspx?docid=00000000000001";"La Redoute";"Housse de chaise, BRIDGY";"Blanc/Noir";"Taille Unique";"13,02 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500786786.aspx?docid=00000000000001";"La Redoute";"Housse de chaise, BRIDGY";"Gris Perle/Blanc";"Taille Unique";"13,02 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500786786.aspx?docid=00000000000001";"La Redoute";"Housse de chaise, BRIDGY";"Indigo/Gris Perle";"Taille Unique";"13,02 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500786786.aspx?docid=00110000000001";"La Redoute";"Housse de chaise, BRIDGY";"Marron Taupe/Galet";"Taille Unique";"13,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-502988875.aspx?docid=00000000000001";"La Redoute";"GALETTE DE CHAISE PAR LOT DE 2";"Gris Moyen Rayé";"Taille Unique";"20,93 €";"En stock."
