"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-324137216.aspx?docid=00000000000001";"La Redoute";"Housse couette BZ matelas 15 cm 250g/m2";"Imprimé cercles";"140 x 200 cm";"125,31 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324137216.aspx?docid=00000000000001";"La Redoute";"Housse couette BZ matelas 15 cm 250g/m2";"Imprimé cercles";"160 x 200 cm";"139,31 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324137216.aspx?docid=00000000000001";"La Redoute";"Housse couette BZ matelas 15 cm 250g/m2";"Imprimé cercles";"90 x 190 cm";"97,31 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324137216.aspx?docid=00000000000001";"La Redoute";"Housse couette BZ matelas 15 cm 250g/m2";"imprimé New York building";"140 x 200 cm";"125,31 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324137216.aspx?docid=00000000000001";"La Redoute";"Housse couette BZ matelas 15 cm 250g/m2";"imprimé New York building";"160 x 200 cm";"139,31 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324137216.aspx?docid=00000000000001";"La Redoute";"Housse couette BZ matelas 15 cm 250g/m2";"imprimé New York building";"90 x 190 cm";"97,31 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324195969.aspx?docid=00000000000001";"La Redoute";"Housse futon unie";"blanc écru";"140 x 190 cm";"51,76 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324195969.aspx?docid=00000000000001";"La Redoute";"Housse futon unie";"blanc écru";"160 x 200 cm";"59,26 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324195969.aspx?docid=00000000000001";"La Redoute";"Housse futon unie";"blanc écru";"90 x 190 cm";"36,76 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324195969.aspx?docid=00000000000001";"La Redoute";"Housse futon unie";"chocolat";"140 x 190 cm";"48,31 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324195969.aspx?docid=00000000000001";"La Redoute";"Housse futon unie";"chocolat";"160 x 200 cm";"55,31 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324195969.aspx?docid=00000000000001";"La Redoute";"Housse futon unie";"chocolat";"90 x 190 cm";"34,31 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324195969.aspx?docid=00000000000001";"La Redoute";"Housse futon unie";"gris anthracite";"140 x 190 cm";"51,76 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324195969.aspx?docid=00000000000001";"La Redoute";"Housse futon unie";"gris anthracite";"160 x 200 cm";"59,26 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324195969.aspx?docid=00000000000001";"La Redoute";"Housse futon unie";"gris anthracite";"90 x 190 cm";"36,76 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324195969.aspx?docid=00000000000001";"La Redoute";"Housse futon unie";"gris clair";"140 x 190 cm";"44,87 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324195969.aspx?docid=00000000000001";"La Redoute";"Housse futon unie";"gris clair";"160 x 200 cm";"51,37 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324195969.aspx?docid=00000000000001";"La Redoute";"Housse futon unie";"gris clair";"90 x 190 cm";"31,87 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324195969.aspx?docid=00000000000001";"La Redoute";"Housse futon unie";"marron taupe";"140 x 190 cm";"48,31 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324195969.aspx?docid=00000000000001";"La Redoute";"Housse futon unie";"marron taupe";"160 x 200 cm";"55,31 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324195969.aspx?docid=00000000000001";"La Redoute";"Housse futon unie";"marron taupe";"90 x 190 cm";"34,31 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324195969.aspx?docid=00000000000001";"La Redoute";"Housse futon unie";"rouge";"140 x 190 cm";"48,31 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324195969.aspx?docid=00000000000001";"La Redoute";"Housse futon unie";"rouge";"160 x 200 cm";"55,31 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324195969.aspx?docid=00000000000001";"La Redoute";"Housse futon unie";"rouge";"90 x 190 cm";"34,31 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324195969.aspx?docid=00000000000001";"La Redoute";"Housse futon unie";"vert granit";"140 x 190 cm";"48,31 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324195969.aspx?docid=00000000000001";"La Redoute";"Housse futon unie";"vert granit";"160 x 200 cm";"55,31 €";""
1;"http://www.laredoute.fr/ppdp/prod-324195969.aspx?docid=00000000000001";"La Redoute";"Housse futon unie";"vert granit";"90 x 190 cm";"34,31 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324195969.aspx?docid=00000000000001";"La Redoute";"Housse futon unie";"violet prune";"140 x 190 cm";"44,87 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324195969.aspx?docid=00000000000001";"La Redoute";"Housse futon unie";"violet prune";"160 x 200 cm";"51,37 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324195969.aspx?docid=00000000000001";"La Redoute";"Housse futon unie";"violet prune";"90 x 190 cm";"31,87 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500001275.aspx?docid=00000000000001";"Lilie Rose Déco";"Galette de chaise Poules beige";"Beige";"40X40 cm";"18,90 €";""
1;"http://www.laredoute.fr/ppdp/prod-500001308.aspx?docid=00000000000001";"Lilie Rose Déco";"Galette de chaise campagne pois rouge";"Rouge";"38X38X10cm";"15,90 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500001317.aspx?docid=00000000000001";"Lilie Rose Déco";"Coussin caniche";"Rose";"40X40 cm";"17,40 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500064103.aspx?docid=00000000000001";"Toilinux";"Galette de chaise - Ivoire";"Ivoire";"38X38X10cm";"9,19 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500064104.aspx?docid=00000000000001";"Toilinux";"Galette de chaise - Gris";"Gris";"40X40 cm";"9,19 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500064105.aspx?docid=00000000000001";"Toilinux";"Galette de chaise - Taupe";"Taupe";"40X40 cm";"9,19 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500064106.aspx?docid=00000000000001";"Toilinux";"Galette de chaise - Lin";"Blanc";"38X38X10cm";"9,19 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500064107.aspx?docid=00000000000001";"Toilinux";"Galette de chaise - Chocolat";"Chocolat";"40X40 cm";"9,19 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500066261.aspx?docid=00000000000001";"Toilinux";"Galette de chaise 5 boutons - Anis";"Vert";"40X40 cm";"11,49 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500066262.aspx?docid=00000000000001";"Toilinux";"Galette de chaise 5 boutons - Framboise";"Framboise";"40X40 cm";"11,49 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500066268.aspx?docid=00000000000001";"Toilinux";"Galette de chaise - 38 x 38 cm - Vert anis";"Vert";"38X38X10cm";"9,19 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500161673.aspx?docid=00000000000001";"Toilinux";"Housse de rangement - 60 x 45 x 30 cm - Noir bordure marron";"Noir";"Taille Unique";"4,69 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500162613.aspx?docid=00000000000001";"Toilinux";"Galette de chaise - Framboise";"Framboise";"40X40 cm";"9,19 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500162701.aspx?docid=00000000000001";"Toilinux";"Galette de chaise 5 boutons - Gris";"Gris";"40X40 cm";"11,49 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500162702.aspx?docid=00000000000001";"Toilinux";"Galette de chaise 5 boutons - Taupe";"Taupe";"40X40 cm";"11,49 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500162703.aspx?docid=00000000000001";"Toilinux";"Galette de chaise 5 boutons - Lin";"Blanc";"40X40 cm";"11,49 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500170502.aspx?docid=00000000000001";"Le Matelas";"Housse de Clic-Clac Aubergine 140x190";"Violet";"LARG140 cm";"30,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500170503.aspx?docid=00000000000001";"Le Matelas";"Housse de Clic-Clac Grise 140x190";"Gris";"LARG140 cm";"30,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500170509.aspx?docid=00000000000001";"Le Matelas";"Housse de Clic-Clac Matelassée Rouge 140x190";"Rouge";"LARG140 cm";"31,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500170522.aspx?docid=00000000000001";"Le Matelas";"Housse de Clic-Clac Taupe 140x190";"Taupe";"LARG140 cm";"25,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500170554.aspx?docid=00000000000001";"Le Matelas";"Housse de Clic-Clac Matelassée Taupe 140x190";"Taupe";"LARG140 cm";"33,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500260531.aspx?docid=00000000000001";"AchatDesign";"Coussin pour chaise GYZA COUSSIN GYZA";"Rouge";"40x40 cm";"27,50 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500260718.aspx?docid=00000000000001";"AchatDesign";"Coussin pour chaise ego-k COUSSIN EGO-K";"Vert";"40X40 cm";"27,50 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500260718.aspx?docid=00000000000001";"AchatDesign";"Coussin pour chaise ego-k COUSSIN EGO-K";"Violet";"40X40 cm";"27,50 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500260766.aspx?docid=00000000000001";"AchatDesign";"Coussin pour chaise elizabeth COUSSIN ELIZABETH";"Blanc";"45X45 cm";"51,45 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500260766.aspx?docid=00000000000001";"AchatDesign";"Coussin pour chaise elizabeth COUSSIN ELIZABETH";"Ivoire";"45X45 cm";"36,75 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500260766.aspx?docid=00000000000001";"AchatDesign";"Coussin pour chaise elizabeth COUSSIN ELIZABETH";"Marron Foncé";"45X45 cm";"43,73 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500260766.aspx?docid=00000000000001";"AchatDesign";"Coussin pour chaise elizabeth COUSSIN ELIZABETH";"Marron";"45X45 cm";"40,95 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500260766.aspx?docid=00000000000001";"AchatDesign";"Coussin pour chaise elizabeth COUSSIN ELIZABETH";"Noir";"45X45 cm";"51,45 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500371152.aspx?docid=00000000000001";"AS Discount";"Galette de chaise carrée 40x40x4 cm  Rouge";"Rouge";"Taille Unique";"13,80 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500371154.aspx?docid=00000000000001";"AS Discount";"Galette de chaise 8pts 40x40x4 cm  Vert anis";"Vert";"Taille Unique";"13,80 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500371580.aspx?docid=00000000000001";"AS Discount";"Galette de chaise carrée 40x40x4 cm  Lin";"Beige";"Taille Unique";"13,80 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500371581.aspx?docid=00000000000001";"AS Discount";"Galette de chaise 8pts 40x40x4 cm  Rayée Lin";"Beige";"Taille Unique";"18,84 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500371593.aspx?docid=00000000000001";"AS Discount";"Galette de chaise 8pts 40x40x4 cm  Chocolat";"Marron";"Taille Unique";"13,80 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500371624.aspx?docid=00000000000001";"AS Discount";"Galette de chaise carrée 40x40x4 cm  Gris";"Gris";"Taille Unique";"17,70 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500371807.aspx?docid=00000000000001";"AS Discount";"Galette de chaise 100% coton 40x40cm Cacao";"Autres";"38X38X10cm";"17,70 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500375274.aspx?docid=00000000000001";"AS Discount";"Galette de chaise 100% coton 40x40cm Purple";"Autres";"38X38X10cm";"17,70 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500375275.aspx?docid=00000000000001";"AS Discount";"Galette de chaise 25pts 40x40x4 cm  Rayée Lin";"Beige";"Taille Unique";"19,60 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500397632.aspx?docid=00000000000001";"Les Quatre Saisons";"Galette De Chaise à Scratchs Lulu Douceur";"Multi Couleurs";"40X40 cm";"7,92 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500416091.aspx?docid=00000000000001";"Home Maison";"Galette de chaise déhoussable outdoor";"Beige";"40X40 cm";"9,03 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500416091.aspx?docid=00000000000001";"Home Maison";"Galette de chaise déhoussable outdoor";"Chocolat";"40X40 cm";"9,03 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500416091.aspx?docid=00000000000001";"Home Maison";"Galette de chaise déhoussable outdoor";"Lin";"40X40 cm";"9,03 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500416091.aspx?docid=00000000000001";"Home Maison";"Galette de chaise déhoussable outdoor";"Vert";"40X40 cm";"9,03 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500423359.aspx?docid=00000000000001";"Home Maison";"Housse de Clic-Clac à Nouettes moderne piqué";"Blanc";"LARG140 cm";"31,92 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500423359.aspx?docid=00000000000001";"Home Maison";"Housse de Clic-Clac à Nouettes moderne piqué";"Chocolat";"LARG140 cm";"31,92 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500423359.aspx?docid=00000000000001";"Home Maison";"Housse de Clic-Clac à Nouettes moderne piqué";"Ecru";"LARG140 cm";"31,92 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500423359.aspx?docid=00000000000001";"Home Maison";"Housse de Clic-Clac à Nouettes moderne piqué";"Gris";"LARG140 cm";"31,92 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500423359.aspx?docid=00000000000001";"Home Maison";"Housse de Clic-Clac à Nouettes moderne piqué";"Noir";"LARG140 cm";"31,92 €";"En stock."
