"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-350016547.aspx?docid=00000000000001";"La Redoute";"Housse de couette bébé, Ifu";"ECRU/NOIR";"taille unique";"34,30 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772735.aspx?docid=00020000000001";"La Redoute";"Housse de couette imprimée, ELKA";"Rose";"240X220 cm";"7,50 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772800.aspx?docid=00000000000001";"La Redoute";"Housse de couette en coton biologique";"Beige";"140X200 cm";"18,89 €";""
1;"http://www.laredoute.fr/ppdp/prod-500772800.aspx?docid=00000000000001";"La Redoute";"Housse de couette en coton biologique";"Beige";"200X200 cm";"27,08 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772800.aspx?docid=00000000000001";"La Redoute";"Housse de couette en coton biologique";"Beige";"240X220 cm";"34,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772800.aspx?docid=00000000000001";"La Redoute";"Housse de couette en coton biologique";"Beige";"260X240 cm";"40,31 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772800.aspx?docid=00000000000001";"La Redoute";"Housse de couette en coton biologique";"Blanc";"140X200 cm";"18,89 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772800.aspx?docid=00000000000001";"La Redoute";"Housse de couette en coton biologique";"Blanc";"200X200 cm";"27,08 €";""
1;"http://www.laredoute.fr/ppdp/prod-500772800.aspx?docid=00000000000001";"La Redoute";"Housse de couette en coton biologique";"Blanc";"240X220 cm";"34,99 €";""
1;"http://www.laredoute.fr/ppdp/prod-500772800.aspx?docid=00000000000001";"La Redoute";"Housse de couette en coton biologique";"Blanc";"260X240 cm";"40,31 €";""
1;"http://www.laredoute.fr/ppdp/prod-500772800.aspx?docid=00000000000001";"La Redoute";"Housse de couette en coton biologique";"Bleu Nordique";"140X200 cm";"18,89 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772800.aspx?docid=00000000000001";"La Redoute";"Housse de couette en coton biologique";"Bleu Nordique";"200X200 cm";"27,08 €";""
