"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-324510863.aspx?docid=00020000000001";"La Redoute";"Surnappe déco, thème Noël";"argent";"taille unique";"12,59 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324510863.aspx?docid=00020000000001";"La Redoute";"Surnappe déco, thème Noël";"or";"taille unique";"12,59 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-350039657.aspx?docid=00000000000001";"La Redoute";"MATELAS FIN PIQUE-NIQUE";"Bleu rayé";"taille unique";"25,00 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Blanc Écru";"150X150 cm";"9,74 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Blanc Écru";"150X200 cm";"16,24 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Blanc Écru";"150X250 cm";"18,19 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Blanc Écru";"150X300 cm";"19,49 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Blanc Écru";"180x180 cm";"16,24 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Blanc";"150X150 cm";"9,74 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Blanc";"150X200 cm";"16,24 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Blanc";"150X250 cm";"18,19 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Blanc";"150X300 cm";"19,49 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Blanc";"180x180 cm";"16,24 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Bleu Minéral";"150X150 cm";"9,74 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Bleu Minéral";"150X200 cm";"16,24 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Bleu Minéral";"150X250 cm";"18,19 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Bleu Minéral";"150X300 cm";"19,49 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Bleu Minéral";"180x180 cm";"16,24 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Bleu Orage";"150X150 cm";"9,74 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Bleu Orage";"150X200 cm";"16,24 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Bleu Orage";"150X250 cm";"18,19 €";""
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Bleu Orage";"150X300 cm";"19,49 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Bleu Orage";"180x180 cm";"16,24 €";""
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Gris Clair";"150X150 cm";"9,74 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Gris Clair";"150X200 cm";"16,24 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Gris Clair";"150X250 cm";"18,19 €";""
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Gris Clair";"150X300 cm";"19,49 €";""
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Gris Clair";"180x180 cm";"16,24 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Gris";"150X150 cm";"9,74 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Gris";"150X200 cm";"16,24 €";"En stock."
3;"http://www.laredoute.fr/ppdp/prod-500772666.aspx?docid=00000000000001";"La Redoute";"Nappe unie pur coton sergé, traité anti-taches";"Gris";"150X250 cm";"18,19 €";"En stock."
