"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-500078470.aspx?docid=00000000000001";"CTI";"peignoir enfant PSG col kimono 100% coton";"Bleu";"6/9 mois";"26,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500081134.aspx?docid=00000000000001";"Hello Cadeau";"Gant Winnie";"Couleur Unique";"Taille Unique";"10,20 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500083157.aspx?docid=00000000000001";"Hello Cadeau";"Peignoir de bain en éponge bouclettes Winnie 2-4 ans";"Couleur Unique";"70X140 cm";"28,60 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500083394.aspx?docid=00000000000001";"Hello Cadeau";"Peignoir Littlest Pet Shops - 2/4 ans";"Bleu";"70X140 cm";"23,90 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500083543.aspx?docid=00000000000001";"Hello Cadeau";"Coffret cadeau Peignoir serviette Petit Prince 6-8 ans";"Couleur Unique";"70X140 cm";"39,60 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500083745.aspx?docid=00000000000001";"Hello Cadeau";"Sortie de bain Fuchsia Hello Kitty 2-4 ans";"Couleur Unique";"70X140 cm";"28,50 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500083885.aspx?docid=00000000000001";"Hello Cadeau";"Coffret cadeau Peignoir + serviette Hello Kitty 2-4 ans";"Couleur Unique";"70X140 cm";"32,30 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500083886.aspx?docid=00000000000001";"Hello Cadeau";"Coffret cadeau Peignoir + serviette Hello Kitty 6-8 ans";"Couleur Unique";"70X140 cm";"36,60 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500135733.aspx?docid=00000000000001";"AS Discount";"Peignoir 18 mois Mickey Mouse Disney";"Blanc";"18 mois";"70,12 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500135919.aspx?docid=00000000000001";"Hello Cadeau";"Cape de bain Olympique de Marseille bleu 60 x 120 cm";"Bleu";"Taille Unique";"14,80 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500136685.aspx?docid=00000000000001";"Hello Cadeau";"cape de bain 060x120 cm SCHTROUMPFS 100% coton";"Bleu";"Taille Unique";"14,80 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500136779.aspx?docid=00000000000001";"CTI";"cape de bain 060x120 cm CARS 100% coton-DISNEY";"Rouge";"Taille Unique";"14,25 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500136788.aspx?docid=00000000000001";"CTI";"cape de bain 060x120 cm SPIDERMAN 100% coton";"Bleu";"2/4 ans";"19,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500162809.aspx?docid=00000000000001";"Sensei";"Peignoir de bain Enfant Uni Liseré";"Blanc Rose";"1 an";"18,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500162809.aspx?docid=00000000000001";"Sensei";"Peignoir de bain Enfant Uni Liseré";"Blanc/Ciel";"1 an";"18,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500162809.aspx?docid=00000000000001";"Sensei";"Peignoir de bain Enfant Uni Liseré";"Blanc/Jaune";"1 an";"18,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500162809.aspx?docid=00000000000001";"Sensei";"Peignoir de bain Enfant Uni Liseré";"Blanc/Jaune";"2 ans";"18,00 €";"En stock."
