"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-500785500.aspx?docid=00000000000001";"La Redoute";"Peignoir-capuche pour enfant personnalisable 350 g";"Beige Ficelle";"12/14 ans";"27,99 €";""
1;"http://www.laredoute.fr/ppdp/prod-500785500.aspx?docid=00000000000001";"La Redoute";"Peignoir-capuche pour enfant personnalisable 350 g";"Beige Ficelle";"4/6 ans";"27,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785500.aspx?docid=00000000000001";"La Redoute";"Peignoir-capuche pour enfant personnalisable 350 g";"Beige Ficelle";"8/10 ans";"27,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785500.aspx?docid=00000000000001";"La Redoute";"Peignoir-capuche pour enfant personnalisable 350 g";"Bleu Turquoise";"12/14 ans";"27,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785500.aspx?docid=00000000000001";"La Redoute";"Peignoir-capuche pour enfant personnalisable 350 g";"Bleu Turquoise";"4/6 ans";"27,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785500.aspx?docid=00000000000001";"La Redoute";"Peignoir-capuche pour enfant personnalisable 350 g";"Bleu Turquoise";"8/10 ans";"27,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785500.aspx?docid=00000000000001";"La Redoute";"Peignoir-capuche pour enfant personnalisable 350 g";"Rose Clair";"12/14 ans";"39,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785500.aspx?docid=00000000000001";"La Redoute";"Peignoir-capuche pour enfant personnalisable 350 g";"Rose Clair";"4/6 ans";"39,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785500.aspx?docid=00000000000001";"La Redoute";"Peignoir-capuche pour enfant personnalisable 350 g";"Rose Clair";"8/10 ans";"39,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785500.aspx?docid=00000000000001";"La Redoute";"Peignoir-capuche pour enfant personnalisable 350 g";"Rouge Grenadine";"12/14 ans";"27,99 €";""
