"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-324513394.aspx?docid=00020000000001";"La Redoute";"Cape femme";"Bleu foncé";"taille unique";"14,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324513394.aspx?docid=00020000000001";"La Redoute";"Cape femme";"Gris chiné";"taille unique";"14,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324523074.aspx?docid=00020000000001";"La Redoute";"Peignoir Arabesque";"Gris";"38";"36,90 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324523074.aspx?docid=00020000000001";"La Redoute";"Peignoir Arabesque";"Gris";"40";"36,90 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324523074.aspx?docid=00020000000001";"La Redoute";"Peignoir Arabesque";"Gris";"42";"36,90 €";""
1;"http://www.laredoute.fr/ppdp/prod-500006468.aspx?docid=00000000000001";"Liou";"Peignoir de bain Prune grisé";"Prune Grisé";"L";"78,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006468.aspx?docid=00000000000001";"Liou";"Peignoir de bain Prune grisé";"Prune Grisé";"M";"78,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006468.aspx?docid=00000000000001";"Liou";"Peignoir de bain Prune grisé";"Prune Grisé";"S";"78,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006469.aspx?docid=00000000000001";"Liou";"Peignoir de bain Bonbon";"Bonbon";"L";"78,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006469.aspx?docid=00000000000001";"Liou";"Peignoir de bain Bonbon";"Bonbon";"M";"78,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006469.aspx?docid=00000000000001";"Liou";"Peignoir de bain Bonbon";"Bonbon";"S";"78,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006469.aspx?docid=00000000000001";"Liou";"Peignoir de bain Bonbon";"Bonbon";"XL";"78,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006509.aspx?docid=00000000000001";"Liou";"Peignoir de bain Blanc";"Blanc";"L";"78,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006509.aspx?docid=00000000000001";"Liou";"Peignoir de bain Blanc";"Blanc";"M";"78,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006509.aspx?docid=00000000000001";"Liou";"Peignoir de bain Blanc";"Blanc";"S";"78,00 €";"En stock."
