"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-324513394.aspx?docid=00020000000001";"La Redoute";"Cape femme";"Bleu foncé";"taille unique";"14,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324513394.aspx?docid=00020000000001";"La Redoute";"Cape femme";"Gris chiné";"taille unique";"14,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324523074.aspx?docid=00020000000001";"La Redoute";"Peignoir Arabesque";"Gris";"38";"36,90 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324523074.aspx?docid=00020000000001";"La Redoute";"Peignoir Arabesque";"Gris";"40";"36,90 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324523074.aspx?docid=00020000000001";"La Redoute";"Peignoir Arabesque";"Gris";"42";"36,90 €";""
1;"http://www.laredoute.fr/ppdp/prod-500772911.aspx?docid=00000000000001";"La Redoute";"Peignoir à capuche col châle";"Gris Chiné";"34/36";"14,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772911.aspx?docid=00000000000001";"La Redoute";"Peignoir à capuche col châle";"Gris Chiné";"38/40";"14,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772911.aspx?docid=00000000000001";"La Redoute";"Peignoir à capuche col châle";"Gris Chiné";"42/44";"14,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772911.aspx?docid=00000000000001";"La Redoute";"Peignoir à capuche col châle";"Gris Chiné";"46/48";"14,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772911.aspx?docid=00000000000001";"La Redoute";"Peignoir à capuche col châle";"Gris Chiné";"50/52";"14,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500776504.aspx?docid=00020000000001";"La Redoute";"Robe de chambre en velours";"Gris Anthracite";"34/36";"24,74 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500776504.aspx?docid=00020000000001";"La Redoute";"Robe de chambre en velours";"Gris Anthracite";"38/40";"24,74 €";""
1;"http://www.laredoute.fr/ppdp/prod-500776504.aspx?docid=00020000000001";"La Redoute";"Robe de chambre en velours";"Gris Anthracite";"42/44";"24,74 €";""
1;"http://www.laredoute.fr/ppdp/prod-500776504.aspx?docid=00020000000001";"La Redoute";"Robe de chambre en velours";"Rose";"34/36";"22,49 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500776504.aspx?docid=00020000000001";"La Redoute";"Robe de chambre en velours";"Rose";"38/40";"22,49 €";""
