"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
"http://www.laredoute.fr/ppdp/prod-501067979.aspx?docid=00000000000001";"La Redoute";"Plaid Tricot Westport";"Ecru";"Taille Unique";"24,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-501067979.aspx?docid=00000000000001";"La Redoute";"Plaid Tricot Westport";"Kaki";"Taille Unique";"24,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-501067979.aspx?docid=00000000000001";"La Redoute";"Plaid Tricot Westport";"Gris";"Taille Unique";"24,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-501067979.aspx?docid=00000000000001";"La Redoute";"Plaid Tricot Westport";"Bleu Indigo";"Taille Unique";"24,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-501068126.aspx?docid=00000000000001";"La Redoute";"Plaid tricot chiné, Flevo";"Gris Chiné";"Taille Unique";"24,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785567.aspx?docid=00000000000001";"La Redoute";"Boutis matelassé";"Blanc";"150x150 cm";"24,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785567.aspx?docid=00000000000001";"La Redoute";"Boutis matelassé";"Blanc";"140x200 cm";"29,99 €";""
"http://www.laredoute.fr/ppdp/prod-500785567.aspx?docid=00000000000001";"La Redoute";"Boutis matelassé";"Blanc";"180x250 cm";"54,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785567.aspx?docid=00000000000001";"La Redoute";"Boutis matelassé";"Blanc";"230x250 cm";"74,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785567.aspx?docid=00000000000001";"La Redoute";"Boutis matelassé";"Beige Taupe Clair";"150x150 cm";"24,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785567.aspx?docid=00000000000001";"La Redoute";"Boutis matelassé";"Beige Taupe Clair";"140x200 cm";"29,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785567.aspx?docid=00000000000001";"La Redoute";"Boutis matelassé";"Beige Taupe Clair";"180x250 cm";"54,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785567.aspx?docid=00000000000001";"La Redoute";"Boutis matelassé";"Beige Taupe Clair";"230x250 cm";"74,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785567.aspx?docid=00000000000001";"La Redoute";"Boutis matelassé";"Bleu Orage";"150x150 cm";"24,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785567.aspx?docid=00000000000001";"La Redoute";"Boutis matelassé";"Bleu Orage";"140x200 cm";"29,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785567.aspx?docid=00000000000001";"La Redoute";"Boutis matelassé";"Bleu Orage";"180x250 cm";"54,99 €";""
"http://www.laredoute.fr/ppdp/prod-500785567.aspx?docid=00000000000001";"La Redoute";"Boutis matelassé";"Bleu Orage";"230x250 cm";"74,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785567.aspx?docid=00000000000001";"La Redoute";"Boutis matelassé";"Taupe";"150x150 cm";"24,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785567.aspx?docid=00000000000001";"La Redoute";"Boutis matelassé";"Taupe";"140x200 cm";"29,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785567.aspx?docid=00000000000001";"La Redoute";"Boutis matelassé";"Taupe";"180x250 cm";"54,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785567.aspx?docid=00000000000001";"La Redoute";"Boutis matelassé";"Taupe";"230x250 cm";"74,99 €";""
"http://www.laredoute.fr/ppdp/prod-500785567.aspx?docid=00000000000001";"La Redoute";"Boutis matelassé";"Violet Violine";"150x150 cm";"24,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785567.aspx?docid=00000000000001";"La Redoute";"Boutis matelassé";"Violet Violine";"140x200 cm";"29,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785567.aspx?docid=00000000000001";"La Redoute";"Boutis matelassé";"Violet Violine";"180x250 cm";"54,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500785567.aspx?docid=00000000000001";"La Redoute";"Boutis matelassé";"Violet Violine";"230x250 cm";"74,99 €";"En stock."
