"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-324452569.aspx?docid=00020000000001";"La Redoute";"Plaid frangé Gidéa";"bleu aqua";"130 x 170 cm";"19,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324452569.aspx?docid=00020000000001";"La Redoute";"Plaid frangé Gidéa";"jaune absinthe";"130 x 170 cm";"8,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324452569.aspx?docid=00020000000001";"La Redoute";"Plaid frangé Gidéa";"orange corail";"130 x 170 cm";"16,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324515427.aspx?docid=00020000000001";"La Redoute";"Plaid polaire";"beige";"taille unique";"8,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324515427.aspx?docid=00020000000001";"La Redoute";"Plaid polaire";"chocolat";"taille unique";"9,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324515427.aspx?docid=00020000000001";"La Redoute";"Plaid polaire";"rouge";"taille unique";"8,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-350016939.aspx?docid=00000000000001";"La Redoute";"Couverture Yegara design V. Barkoswki";"écru";"taille unique";"159,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500277171.aspx?docid=00020000000001";"La Redoute";"Plaid polaire 110X140 cm MICKEY MOUSE 100% polyester";"Imprimé";"110x150 cm";"9,00 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500774789.aspx?docid=00000000000001";"La Redoute";"Jeté de fauteuil ou canapé uni";"Blanc Écru";"250x250 cm";"34,99 €";""
2;"http://www.laredoute.fr/ppdp/prod-500774789.aspx?docid=00000000000001";"La Redoute";"Jeté de fauteuil ou canapé uni";"Blanc Écru";"250x350cm";"34,99 €";""
2;"http://www.laredoute.fr/ppdp/prod-500774789.aspx?docid=00000000000001";"La Redoute";"Jeté de fauteuil ou canapé uni";"Blanc";"250x250 cm";"34,99 €";""
2;"http://www.laredoute.fr/ppdp/prod-500774789.aspx?docid=00000000000001";"La Redoute";"Jeté de fauteuil ou canapé uni";"Blanc";"250x350cm";"34,99 €";""
2;"http://www.laredoute.fr/ppdp/prod-500774789.aspx?docid=00000000000001";"La Redoute";"Jeté de fauteuil ou canapé uni";"Bleu Canard";"250x250 cm";"34,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500774789.aspx?docid=00000000000001";"La Redoute";"Jeté de fauteuil ou canapé uni";"Bleu Canard";"250x350cm";"34,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500774789.aspx?docid=00000000000001";"La Redoute";"Jeté de fauteuil ou canapé uni";"Bleu Indigo";"250x250 cm";"34,99 €";""
2;"http://www.laredoute.fr/ppdp/prod-500774789.aspx?docid=00000000000001";"La Redoute";"Jeté de fauteuil ou canapé uni";"Bleu Indigo";"250x350cm";"34,99 €";""
2;"http://www.laredoute.fr/ppdp/prod-500774789.aspx?docid=00000000000001";"La Redoute";"Jeté de fauteuil ou canapé uni";"Gris Anthracite";"250x250 cm";"34,99 €";""
2;"http://www.laredoute.fr/ppdp/prod-500774789.aspx?docid=00000000000001";"La Redoute";"Jeté de fauteuil ou canapé uni";"Gris Anthracite";"250x350cm";"34,99 €";""
2;"http://www.laredoute.fr/ppdp/prod-500774789.aspx?docid=00000000000001";"La Redoute";"Jeté de fauteuil ou canapé uni";"Gris Nuage";"250x250 cm";"34,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500774789.aspx?docid=00000000000001";"La Redoute";"Jeté de fauteuil ou canapé uni";"Gris Nuage";"250x350cm";"34,99 €";""
2;"http://www.laredoute.fr/ppdp/prod-500774789.aspx?docid=00000000000001";"La Redoute";"Jeté de fauteuil ou canapé uni";"Jaune Miel";"250x250 cm";"34,99 €";""
2;"http://www.laredoute.fr/ppdp/prod-500774789.aspx?docid=00000000000001";"La Redoute";"Jeté de fauteuil ou canapé uni";"Jaune Miel";"250x350cm";"34,99 €";""
