"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
2;"http://www.laredoute.fr/ppdp/prod-500773585.aspx?docid=00000000000001";"La Redoute";"Rideau métis lin/coton occultant, TAÏMA";"Blanc";"180X140 cm";"29,99 €";""
2;"http://www.laredoute.fr/ppdp/prod-500773585.aspx?docid=00000000000001";"La Redoute";"Rideau métis lin/coton occultant, TAÏMA";"Blanc";"260X140 cm";"47,99 €";""
2;"http://www.laredoute.fr/ppdp/prod-500773585.aspx?docid=00000000000001";"La Redoute";"Rideau métis lin/coton occultant, TAÏMA";"Blanc";"350X140 cm";"53,99 €";""
2;"http://www.laredoute.fr/ppdp/prod-500773585.aspx?docid=00000000000001";"La Redoute";"Rideau métis lin/coton occultant, TAÏMA";"Bleu Céladon";"180X140 cm";"29,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500773585.aspx?docid=00000000000001";"La Redoute";"Rideau métis lin/coton occultant, TAÏMA";"Bleu Céladon";"260X140 cm";"47,99 €";""
2;"http://www.laredoute.fr/ppdp/prod-500773585.aspx?docid=00000000000001";"La Redoute";"Rideau métis lin/coton occultant, TAÏMA";"Bleu Céladon";"350X140 cm";"53,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500773585.aspx?docid=00000000000001";"La Redoute";"Rideau métis lin/coton occultant, TAÏMA";"Bleu Grisé";"180X140 cm";"29,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500773585.aspx?docid=00000000000001";"La Redoute";"Rideau métis lin/coton occultant, TAÏMA";"Bleu Grisé";"260X140 cm";"47,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500773585.aspx?docid=00000000000001";"La Redoute";"Rideau métis lin/coton occultant, TAÏMA";"Bleu Grisé";"350X140 cm";"53,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500773585.aspx?docid=00000000000001";"La Redoute";"Rideau métis lin/coton occultant, TAÏMA";"Ecru";"180X140 cm";"29,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500773585.aspx?docid=00000000000001";"La Redoute";"Rideau métis lin/coton occultant, TAÏMA";"Ecru";"260X140 cm";"47,99 €";""
2;"http://www.laredoute.fr/ppdp/prod-500773585.aspx?docid=00000000000001";"La Redoute";"Rideau métis lin/coton occultant, TAÏMA";"Ecru";"350X140 cm";"53,99 €";""
2;"http://www.laredoute.fr/ppdp/prod-500773585.aspx?docid=00000000000001";"La Redoute";"Rideau métis lin/coton occultant, TAÏMA";"Gris Clair";"180X140 cm";"29,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500773585.aspx?docid=00000000000001";"La Redoute";"Rideau métis lin/coton occultant, TAÏMA";"Gris Clair";"260X140 cm";"47,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500773585.aspx?docid=00000000000001";"La Redoute";"Rideau métis lin/coton occultant, TAÏMA";"Gris Clair";"350X140 cm";"53,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500773585.aspx?docid=00000000000001";"La Redoute";"Rideau métis lin/coton occultant, TAÏMA";"Gris Foncé Uni";"180X140 cm";"29,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500773585.aspx?docid=00000000000001";"La Redoute";"Rideau métis lin/coton occultant, TAÏMA";"Gris Foncé Uni";"260X140 cm";"47,99 €";"En stock."
