"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
2;"http://www.laredoute.fr/ppdp/prod-500772378.aspx?docid=00000000000001";"La Redoute";"Rideau uni finition galon fronceur";"Blanc Écru";"180X135 cm";"8,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772378.aspx?docid=00000000000001";"La Redoute";"Rideau uni finition galon fronceur";"Blanc Écru";"260X135 cm";"14,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772378.aspx?docid=00000000000001";"La Redoute";"Rideau uni finition galon fronceur";"Blanc Écru";"350X135 cm";"19,79 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772378.aspx?docid=00000000000001";"La Redoute";"Rideau uni finition galon fronceur";"Blanc";"180X135 cm";"8,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772378.aspx?docid=00000000000001";"La Redoute";"Rideau uni finition galon fronceur";"Blanc";"260X135 cm";"14,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772378.aspx?docid=00000000000001";"La Redoute";"Rideau uni finition galon fronceur";"Blanc";"350X135 cm";"19,79 €";""
2;"http://www.laredoute.fr/ppdp/prod-500772378.aspx?docid=00000000000001";"La Redoute";"Rideau uni finition galon fronceur";"Bleu Canard";"180X135 cm";"7,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772378.aspx?docid=00000000000001";"La Redoute";"Rideau uni finition galon fronceur";"Bleu Canard";"260X135 cm";"12,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772378.aspx?docid=00000000000001";"La Redoute";"Rideau uni finition galon fronceur";"Bleu Canard";"350X135 cm";"16,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772378.aspx?docid=00000000000001";"La Redoute";"Rideau uni finition galon fronceur";"Bleu Roi";"180X135 cm";"8,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772378.aspx?docid=00000000000001";"La Redoute";"Rideau uni finition galon fronceur";"Bleu Roi";"260X135 cm";"14,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772378.aspx?docid=00000000000001";"La Redoute";"Rideau uni finition galon fronceur";"Bleu Roi";"350X135 cm";"19,79 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772378.aspx?docid=00000000000001";"La Redoute";"Rideau uni finition galon fronceur";"Corail";"180X135 cm";"8,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772378.aspx?docid=00000000000001";"La Redoute";"Rideau uni finition galon fronceur";"Corail";"260X135 cm";"14,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772378.aspx?docid=00000000000001";"La Redoute";"Rideau uni finition galon fronceur";"Corail";"350X135 cm";"19,79 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772378.aspx?docid=00000000000001";"La Redoute";"Rideau uni finition galon fronceur";"Gris Anthracite";"180X135 cm";"8,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772378.aspx?docid=00000000000001";"La Redoute";"Rideau uni finition galon fronceur";"Gris Anthracite";"260X135 cm";"14,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772378.aspx?docid=00000000000001";"La Redoute";"Rideau uni finition galon fronceur";"Gris Anthracite";"350X135 cm";"19,79 €";"En stock."
