"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Rouge";"10€";"10,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Rouge";"25€";"25,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Rouge";"30€";"30,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Rouge";"50€";"50,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Rouge";"100€";"100,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Rouge";"200€";"200,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Rouge";"250€";"250,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Bleu";"10€";"10,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Bleu";"25€";"25,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Bleu";"30€";"30,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Bleu";"50€";"50,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Bleu";"100€";"100,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Bleu";"200€";"200,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Bleu";"250€";"250,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500165533.aspx?docid=00000000000001";"Sensei";"Drap Douche 70x140cm Brodé LOVELY BIRD";"Blanc";"Taille Unique";"18,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500165533.aspx?docid=00000000000001";"Sensei";"Drap Douche 70x140cm Brodé LOVELY BIRD";"Rose Indien";"Taille Unique";"18,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500857288.aspx?docid=00000000000001";"Sensei";"Drap de douche PIRATE OCTOPUS";"Bleu Turquoise";"Taille Unique";"26,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-504030522.aspx?docid=00000000000001";"Sensei";"Drap de douche 70x130cm 450 Gr/m² DRAGON BOY";"Orange";"Taille Unique";"26,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-503678122.aspx?docid=00000000000001";"Groupe ITC";"Drap De Douche Colibri Rose";"Rose";"70X130 cm";"20,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-504031025.aspx?docid=00000000000001";"Sensei";"Drap Douche 70x130cm Brodé FUNNY DOG";"Ciel";"Taille Unique";"26,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500165675.aspx?docid=00000000000001";"Sensei";"Drap Douche 70x140cm ARES";"Gris Perle";"Taille Unique";"26,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-503678137.aspx?docid=00000000000001";"Groupe ITC";"Drap De Douche City Tour Bleu";"Bleu";"70X130 cm";"23,70 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500196751.aspx?docid=00000000000001";"Made in bébé";"Cape de bain Walter le dragon";"AUTRES";"Taille Unique";"39,90 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-504244110.aspx?docid=00000000000001";"Sylvie Thiriez";"Drap de bain 60x120 Lovely moon";"Couleur Unique";"Taille Unique";"27,50 €";"En stock."
