"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-350014855.aspx?docid=00000000000001";"La Redoute";"Drap de bain ANJO, 100% coton.";"Bleu washed";"70 x 140 cm";"22,74 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006465.aspx?docid=00000000000001";"Liou";"Serviette de bain Blanc";"Blanc";"100X150 cm";"33,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006465.aspx?docid=00000000000001";"Liou";"Serviette de bain Blanc";"Blanc";"50X100 cm";"14,40 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006465.aspx?docid=00000000000001";"Liou";"Serviette de bain Blanc";"Blanc";"70X140 cm";"22,20 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006486.aspx?docid=00000000000001";"Liou";"Serviette de bain Gris velours";"Gris Velours";"100X150 cm";"33,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006486.aspx?docid=00000000000001";"Liou";"Serviette de bain Gris velours";"Gris Velours";"50X100 cm";"14,40 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006486.aspx?docid=00000000000001";"Liou";"Serviette de bain Gris velours";"Gris Velours";"70X140 cm";"22,20 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006499.aspx?docid=00000000000001";"Liou";"Serviette de bain Peppermint";"Pepper Mint";"100X150 cm";"33,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006499.aspx?docid=00000000000001";"Liou";"Serviette de bain Peppermint";"Pepper Mint";"50X100 cm";"14,40 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006501.aspx?docid=00000000000001";"Liou";"Serviette de bain Bonbon";"Bonbon";"100X150 cm";"33,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006501.aspx?docid=00000000000001";"Liou";"Serviette de bain Bonbon";"Bonbon";"50X100 cm";"14,40 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006501.aspx?docid=00000000000001";"Liou";"Serviette de bain Bonbon";"Bonbon";"70X140 cm";"22,20 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006504.aspx?docid=00000000000001";"Liou";"Serviette de bain Marron Glacé";"Marron Glacé";"100X150 cm";"33,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006504.aspx?docid=00000000000001";"Liou";"Serviette de bain Marron Glacé";"Marron Glacé";"50X100 cm";"14,40 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006504.aspx?docid=00000000000001";"Liou";"Serviette de bain Marron Glacé";"Marron Glacé";"70X140 cm";"22,20 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006506.aspx?docid=00000000000001";"Liou";"Serviette de bain Prune grisé";"Prune Grisé";"100X150 cm";"33,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006506.aspx?docid=00000000000001";"Liou";"Serviette de bain Prune grisé";"Prune Grisé";"50X100 cm";"14,40 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006506.aspx?docid=00000000000001";"Liou";"Serviette de bain Prune grisé";"Prune Grisé";"70X140 cm";"22,20 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006507.aspx?docid=00000000000001";"Liou";"Serviette de bain Bleu tempête";"Bleu Tempête";"100X150 cm";"33,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006507.aspx?docid=00000000000001";"Liou";"Serviette de bain Bleu tempête";"Bleu Tempête";"50X100 cm";"14,40 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006508.aspx?docid=00000000000001";"Liou";"Serviette de bain Gris perle";"Gris Perle";"100X150 cm";"33,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006508.aspx?docid=00000000000001";"Liou";"Serviette de bain Gris perle";"Gris Perle";"50X100 cm";"14,40 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006508.aspx?docid=00000000000001";"Liou";"Serviette de bain Gris perle";"Gris Perle";"70X140 cm";"22,20 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006783.aspx?docid=00000000000001";"Liou";"Serviette de bain Noir";"Noir";"100X150 cm";"33,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006783.aspx?docid=00000000000001";"Liou";"Serviette de bain Noir";"Noir";"50X100 cm";"14,40 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006783.aspx?docid=00000000000001";"Liou";"Serviette de bain Noir";"Noir";"70X140 cm";"22,20 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500064470.aspx?docid=00000000000001";"Toilinux";"Drap de Bain - 100 x 150 cm - Taupe";"Taupe";"30X50 cm";"20,79 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500064471.aspx?docid=00000000000001";"Toilinux";"Drap de Bain - 100 x 150 cm - Vert Anis";"Vert Anis";"30X50 cm";"20,79 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500064472.aspx?docid=00000000000001";"Toilinux";"Drap de Bain - 100 x 150 cm - Rose Clair";"Rose";"30X50 cm";"20,79 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500089819.aspx?docid=00000000000001";"Sensei";"Drap de douche 70x140cm 560gr/m² Sensoft";"Anthracite";"70X140 cm";"25,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500089819.aspx?docid=00000000000001";"Sensei";"Drap de douche 70x140cm 560gr/m² Sensoft";"Aqua Sea";"Taille Unique";"25,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500089819.aspx?docid=00000000000001";"Sensei";"Drap de douche 70x140cm 560gr/m² Sensoft";"Blanc Écru";"70X140 cm";"25,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500089819.aspx?docid=00000000000001";"Sensei";"Drap de douche 70x140cm 560gr/m² Sensoft";"Blanc";"70X140 cm";"25,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500089819.aspx?docid=00000000000001";"Sensei";"Drap de douche 70x140cm 560gr/m² Sensoft";"Bleu Marine";"70X140 cm";"25,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500089819.aspx?docid=00000000000001";"Sensei";"Drap de douche 70x140cm 560gr/m² Sensoft";"Bleu Turquoise";"70X140 cm";"25,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500089819.aspx?docid=00000000000001";"Sensei";"Drap de douche 70x140cm 560gr/m² Sensoft";"Brun Ficelle";"70X140 cm";"25,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500089819.aspx?docid=00000000000001";"Sensei";"Drap de douche 70x140cm 560gr/m² Sensoft";"Brun Vison";"70X140 cm";"25,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500089819.aspx?docid=00000000000001";"Sensei";"Drap de douche 70x140cm 560gr/m² Sensoft";"Framboise";"Taille Unique";"25,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500089819.aspx?docid=00000000000001";"Sensei";"Drap de douche 70x140cm 560gr/m² Sensoft";"Greige";"Taille Unique";"25,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500089819.aspx?docid=00000000000001";"Sensei";"Drap de douche 70x140cm 560gr/m² Sensoft";"Gris Perle";"70X140 cm";"25,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500089819.aspx?docid=00000000000001";"Sensei";"Drap de douche 70x140cm 560gr/m² Sensoft";"Marsala";"Taille Unique";"25,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500089819.aspx?docid=00000000000001";"Sensei";"Drap de douche 70x140cm 560gr/m² Sensoft";"Noir";"70X140 cm";"25,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500089819.aspx?docid=00000000000001";"Sensei";"Drap de douche 70x140cm 560gr/m² Sensoft";"Poudre";"Taille Unique";"25,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500089819.aspx?docid=00000000000001";"Sensei";"Drap de douche 70x140cm 560gr/m² Sensoft";"Safran";"Taille Unique";"25,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500089819.aspx?docid=00000000000001";"Sensei";"Drap de douche 70x140cm 560gr/m² Sensoft";"Silver Grey";"Taille Unique";"25,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500161152.aspx?docid=00000000000001";"Toilinux";"Drap de Bain - 100 x 150 cm - Gris Clair";"Gris Clair";"30X50 cm";"20,79 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500161271.aspx?docid=00000000000001";"Toilinux";"Drap de Bain - 100 x 150 cm - Lin";"Lin";"30X50 cm";"20,79 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500161272.aspx?docid=00000000000001";"Toilinux";"Drap de Bain - 100 x 150 cm - Bleu Marine";"Bleu Marine";"30X50 cm";"20,79 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500161273.aspx?docid=00000000000001";"Toilinux";"Drap de Bain - 100 x 150 cm - Fuschia";"Fuschia";"30X50 cm";"20,79 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500161274.aspx?docid=00000000000001";"Toilinux";"Drap de Bain - 100 x 150 cm - Noir";"Noir";"30X50 cm";"20,79 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500161275.aspx?docid=00000000000001";"Toilinux";"Drap de Bain - 100 x 150 cm - Gris Foncé";"Gris Foncé";"30X50 cm";"20,79 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500161276.aspx?docid=00000000000001";"Toilinux";"Drap de Bain - 100 x 150 cm - Corail";"Corail";"30X50 cm";"20,79 €";"En stock."
