"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-350014855.aspx?docid=00000000000001";"La Redoute";"Drap de bain ANJO, 100% coton.";"Bleu washed";"70 x 140 cm";"22,74 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785479.aspx?docid=00000000000001";"La Redoute";"Maxi drap de bain 500g/m² Azulejos";"Bleu";"Taille Unique";"12,49 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785479.aspx?docid=00000000000001";"La Redoute";"Maxi drap de bain 500g/m² Azulejos";"Gris";"Taille Unique";"12,49 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785479.aspx?docid=00000000000001";"La Redoute";"Maxi drap de bain 500g/m² Azulejos";"Taupe";"Taille Unique";"12,49 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785561.aspx?docid=00000000000001";"La Redoute";"Maxi-drap de bain 600 g/m²";"Beige Naturel";"Taille Unique";"22,74 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785561.aspx?docid=00000000000001";"La Redoute";"Maxi-drap de bain 600 g/m²";"Bleu Aqua";"Taille Unique";"22,74 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785561.aspx?docid=00000000000001";"La Redoute";"Maxi-drap de bain 600 g/m²";"Bleu Orage";"Taille Unique";"22,74 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785561.aspx?docid=00000000000001";"La Redoute";"Maxi-drap de bain 600 g/m²";"Bleu Paon";"Taille Unique";"22,74 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785561.aspx?docid=00000000000001";"La Redoute";"Maxi-drap de bain 600 g/m²";"Figue";"Taille Unique";"22,74 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785561.aspx?docid=00000000000001";"La Redoute";"Maxi-drap de bain 600 g/m²";"Grenat";"Taille Unique";"22,74 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785561.aspx?docid=00000000000001";"La Redoute";"Maxi-drap de bain 600 g/m²";"Gris Clair";"Taille Unique";"22,74 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785561.aspx?docid=00000000000001";"La Redoute";"Maxi-drap de bain 600 g/m²";"Gris Foncé";"Taille Unique";"22,74 €";"En stock."
