"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-500136403.aspx?docid=00000000000001";"Charlotte Boutik";"drap de plage rose 070X120 cm BARBAPAPA 100% coton";"Rose";"70X120 cm";"20,18 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500136471.aspx?docid=00000000000001";"Hello Cadeau";"Serviette de plage Spiderman Ultimate Bleu Marvel";"Bleu";"70X140 cm";"17,10 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500136570.aspx?docid=00000000000001";"1001KDO";"Serviette de plage Cars Disney No Limits";"Rouge";"70X140 cm";"12,90 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500136571.aspx?docid=00000000000001";"Hello Cadeau";"Serviette de plage Cars Disney Street";"Bleu";"70X140 cm";"17,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500136784.aspx?docid=00000000000001";"CTI";"drap de plage 70x120 cm SPIDERMAN";"Bleu";"70X120 cm";"17,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500136966.aspx?docid=00000000000001";"Charlotte Boutik";"drap de plage 070X120 cm DISNEY PRINCESS 100% coton";"Rose";"70X120 cm";"20,18 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500273482.aspx?docid=00000000000001";"1001KDO";"GORMITI Serviette de bain ou drap de plage";"Couleur Unique";"75X150 cm";"12,90 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500276433.aspx?docid=00000000000001";"CTI";"drap de plage bleu  070X120 cm PLANES 100% coton";"Bleu";"70X120 cm";"12,75 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500276435.aspx?docid=00000000000001";"CTI";"Drap de plage rose 070x120 cm ASTERIX IDEFIX 100% coton";"Rose";"70X120 cm";"10,20 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500276790.aspx?docid=00000000000001";"Hello Cadeau";"Drap de plage KIMMI JUNIOR 100% coton";"Rose";"70X120 cm";"17,50 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500276793.aspx?docid=00000000000001";"Charlotte Boutik";"drap de plage 070X120 cm BARBAPAPA 100% coton";"Rose";"70X120 cm";"22,28 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500276794.aspx?docid=00000000000001";"Charlotte Boutik";"drap de plage 070X120 cm BARBAPAPA 100% coton";"Bleu";"70X120 cm";"18,76 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500276796.aspx?docid=00000000000001";"Hello Cadeau";"Drap de plage KIMMI JUNIOR 100% coton";"Rose";"75X150 cm";"17,10 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500276985.aspx?docid=00000000000001";"CTI";"drap de plage  070X120 cm HELLO KITTY 100% coton";"Rose";"70X120 cm";"17,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500277081.aspx?docid=00000000000001";"CTI";"Drap de plage bleu  070X120 cm AVENGERS 100% coton";"Bleu";"70X120 cm";"17,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500277640.aspx?docid=00000000000001";"CTI";"drap de plage bleu  070X120 cm PLANES 100% coton";"Bleu";"70X120 cm";"12,75 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500277641.aspx?docid=00000000000001";"CTI";"drap de plage gris  070X120 cm PLANES 100% coton";"Gris";"70X120 cm";"12,75 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500277642.aspx?docid=00000000000001";"CTI";"drap de plage noir 070X120 cm CARS 100% coton";"Noir";"70X120 cm";"12,75 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500277710.aspx?docid=00000000000001";"CTI";"drap de plage bleu 070X120 cm CALIMERO 100% coton";"Bleu";"70X120 cm";"10,20 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500304592.aspx?docid=00000000000001";"Hello Cadeau";"Serviette de plage Spiderman Ultimate Marvel";"Rouge";"70X140 cm";"17,10 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500306320.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Pucca";"Couleur Unique";"75X150 cm";"14,08 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500306953.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Simpsons";"Couleur Unique";"75X150 cm";"32,33 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500307004.aspx?docid=00000000000001";"1001KDO";"Serviette de bain Mia et Moi";"Couleur Unique";"70X140 cm";"15,90 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500307663.aspx?docid=00000000000001";"1001KDO";"Drap de plage - Charlotte aux fraises 75 x 150 cm";"Couleur Unique";"75X150 cm";"12,90 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500307759.aspx?docid=00000000000001";"Hello Cadeau";"Drap de bain Frozen";"Couleur Unique";"70X140 cm";"18,20 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500315686.aspx?docid=00000000000001";"CTI";"Drap de plage bleu La Reine des Neiges DISNEY PRINCESS FROZEN 100% coton";"Bleu";"70X120 cm";"17,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500315687.aspx?docid=00000000000001";"CTI";"Serviette de plage enfant, Reine des Neiges";"Bleu";"70X120 cm";"17,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500315688.aspx?docid=00000000000001";"CTI";"Drap de plage rose Cendrillon DISNEY PRINCESS 100% coton";"Rose";"70X120 cm";"17,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500315689.aspx?docid=00000000000001";"CTI";"Drap de plage bleu NEMO 100% coton";"Bleu";"70X120 cm";"17,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500315690.aspx?docid=00000000000001";"CTI";"Drap de plage rouge CARS 100% coton";"Rouge";"70X120 cm";"17,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500315691.aspx?docid=00000000000001";"CTI";"Drap de plage rouge Mickey Mouse en 100% coton";"Rouge";"70X120 cm";"17,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500315692.aspx?docid=00000000000001";"CTI";"Drap de plage rose HELLO KITTY 100% coton";"Rose";"70X120 cm";"17,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500315693.aspx?docid=00000000000001";"CTI";"Drap de plage rose MINNIE MOUSE 100% coton";"Rose";"70X120 cm";"17,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500315694.aspx?docid=00000000000001";"CTI";"Drap de plage bleu DISNEY LE VOYAGE D&#39;ARLO 100% coton";"Bleu";"70X120 cm";"12,75 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500315695.aspx?docid=00000000000001";"CTI";"Drap de plage bleu LES MINIONS 100% coton";"Bleu";"70X120 cm";"17,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500315696.aspx?docid=00000000000001";"CTI";"Drap de plage rouge ANGRY BIRDS 100% coton";"Rouge";"70X120 cm";"12,75 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500316919.aspx?docid=00000000000001";"CTI";"Drap de plage bleu NEW YORK YANKEES 100% coton";"Bleu";"75X150 cm";"15,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500316921.aspx?docid=00000000000001";"CTI";"Drap de plage rose SMILEY WORLD 100% coton";"Rose";"75X150 cm";"25,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500333953.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Dora l&#39;Exploratrice";"Couleur Unique";"75X150 cm";"21,47 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500391786.aspx?docid=00000000000001";"Logeek Design";"Serviette Cape Superman";"Rouge";"85X160 cm";"18,90 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500457116.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Beyblade";"Couleur Unique";"75X150 cm";"13,43 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500457175.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Bakugan";"Couleur Unique";"75X150 cm";"10,06 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500457181.aspx?docid=00000000000001";"1001KDO";"Drap de bain Charlotte aux fraises";"Couleur Unique";"75X150 cm";"12,90 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500457240.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Ben 10";"Couleur Unique";"75X150 cm";"9,38 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500457269.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Charlotte aux fraises";"Couleur Unique";"75X150 cm";"20,17 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500457270.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Charmmy Kitty";"Couleur Unique";"75X150 cm";"12,49 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500457401.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Ben 10";"Couleur Unique";"75X150 cm";"10,73 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500457518.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Charlotte aux fraises";"Couleur Unique";"75X150 cm";"20,17 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500457547.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Ben 10";"Couleur Unique";"75X150 cm";"14,82 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500457595.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Avengers";"Couleur Unique";"70X140 cm";"21,53 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500457635.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Bunny";"Couleur Unique";"70X120 cm";"18,76 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500457685.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Beyblade";"Couleur Unique";"75X150 cm";"13,43 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500487913.aspx?docid=00000000000001";"AS Discount";"Star Wars Serviette de bain ou Poncho Yoda 100 x 100 cm";"Couleur Unique";"70X140 cm";"38,12 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500488000.aspx?docid=00000000000001";"AS Discount";"Star Wars serviette de bain (Poncho) Chewbacca 100 x 100 cm";"Couleur Unique";"70X140 cm";"47,85 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500508231.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Le coyotte";"Couleur Unique";"75X150 cm";"29,57 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500508323.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Skull";"Couleur Unique";"70X140 cm";"20,12 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500508324.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Mickey";"Couleur Unique";"70X140 cm";"21,53 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500508345.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Simpsons";"Couleur Unique";"75X150 cm";"32,33 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500508373.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Winnie";"Couleur Unique";"70X140 cm";"11,81 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500508392.aspx?docid=00000000000001";"Jardin Deco";"Matelas Gonflable Disney Princesse";"Rose";"68X140 cm";"10,90 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500508450.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Littlest Petshop";"Couleur Unique";"70X120 cm";"22,81 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500508478.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Miss Sunshine";"Couleur Unique";"75X150 cm";"34,96 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500508569.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Zhu Zhu Pets";"Couleur Unique";"75X150 cm";"12,49 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500508601.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Simpsons";"Couleur Unique";"75X150 cm";"20,18 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500508614.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de plage Hello Kitty Balloons Rose 100% coton";"Rose";"75X150 cm";"25,52 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500508625.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain High school musical";"Couleur Unique";"75X150 cm";"20,12 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500508644.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Les Angry Birds";"Couleur Unique";"70X140 cm";"11,75 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500508658.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Hello Kitty";"Couleur Unique";"75X150 cm";"25,52 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500508677.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Superman";"Couleur Unique";"75X150 cm";"20,12 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500508688.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Winnie";"Couleur Unique";"50X100 cm";"8,71 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500508787.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de bain Simpsons";"Couleur Unique";"75X150 cm";"20,18 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500509168.aspx?docid=00000000000001";"Charlotte Boutik";"Drap de plage Hello Kitty";"Couleur Unique";"85X160 cm";"30,91 €";"En stock."
