"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-500786119.aspx?docid=00000000000001";"La Redoute";"Maxi drap de bain uni 420 g/m²";"Blanc";"Taille Unique";"14,94 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500786119.aspx?docid=00000000000001";"La Redoute";"Maxi drap de bain uni 420 g/m²";"Bleu Turquoise";"Taille Unique";"18,39 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500786119.aspx?docid=00000000000001";"La Redoute";"Maxi drap de bain uni 420 g/m²";"Gris Foncé";"Taille Unique";"18,39 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500786119.aspx?docid=00000000000001";"La Redoute";"Maxi drap de bain uni 420 g/m²";"Marron Taupe Clair";"Taille Unique";"14,94 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500786119.aspx?docid=00000000000001";"La Redoute";"Maxi drap de bain uni 420 g/m²";"Rouge Grenadine";"Taille Unique";"18,39 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500786119.aspx?docid=00000000000001";"La Redoute";"Maxi drap de bain uni 420 g/m²";"Vert Anis";"Taille Unique";"18,39 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500786463.aspx?docid=00000000000001";"La Redoute";"Drap de plage ESTORIL";"Bleu Lagon";"Taille Unique";"9,74 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500786463.aspx?docid=00000000000001";"La Redoute";"Drap de plage ESTORIL";"Bleu Nautique";"Taille Unique";"9,74 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500786463.aspx?docid=00000000000001";"La Redoute";"Drap de plage ESTORIL";"Gris Foncé";"Taille Unique";"9,74 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500786463.aspx?docid=00000000000001";"La Redoute";"Drap de plage ESTORIL";"Rouge Grenadine";"Taille Unique";"9,74 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500786463.aspx?docid=00000000000001";"La Redoute";"Drap de plage ESTORIL";"Vert Anis";"Taille Unique";"9,74 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500786463.aspx?docid=00000000000001";"La Redoute";"Drap de plage ESTORIL";"Violet";"Taille Unique";"9,74 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Bleu";"100€";"100,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Bleu";"10€";"10,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Bleu";"200€";"200,00 €";"En stock."
