"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
"http://www.laredoute.fr/ppdp/prod-500789589.aspx?docid=00000000000001";"La Redoute";"Lot 1 drap de bain + 1 gant 400g/m2";"Blanc";"Taille Unique";"17,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Rouge";"10€";"10,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Rouge";"25€";"25,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Rouge";"30€";"30,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Rouge";"50€";"50,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Rouge";"100€";"100,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Rouge";"200€";"200,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Rouge";"250€";"250,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Bleu";"10€";"10,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Bleu";"25€";"25,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Bleu";"30€";"30,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Bleu";"50€";"50,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Bleu";"100€";"100,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Bleu";"200€";"200,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Bleu";"250€";"250,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500497743.aspx?docid=00000000000001";"The French Talents";"Cape de bain blanc 100% Coton BIO 380 g/m2  Extra Large 100x100 Cm - Koala";"Blanc";"100X100 cm";"30,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500484477.aspx?docid=00000000000001";"The French Talents";"Sortie de bain bébé fille en éponge bio violette Baby Duck";"Violet";"70X70 cm";"35,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500482806.aspx?docid=00000000000001";"The French Talents";"Sortie de bain bébé fille en éponge bio blanche Choubiboo";"Blanc";"70X70 cm";"35,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500762069.aspx?docid=00000000000001";"CTI";"Drap de plage 085x160 cm PSG 100% coton";"Noir";"85X160 cm";"29,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500485045.aspx?docid=00000000000001";"Hello Cadeau";"drap de plage rouge 075X150 cm HARIBO croco 100% coton";"Multicolore";"75X150 cm";"17,10 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500662034.aspx?docid=00000000000001";"Groupe ITC";"Serviette De Bain L&#39;ours Et L&#39;étoile Bleu";"Bleu";"50X100 cm";"25,20 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-503678116.aspx?docid=00000000000001";"Groupe ITC";"Serviette De Bain Prairie Lilas";"Lilas";"50X100 cm";"12,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500562247.aspx?docid=00000000000001";"The French Talents";"Cape de bain en éponge bambou Comedia";"Vert";"80X100 cm";"45,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500165532.aspx?docid=00000000000001";"Sensei";"Serviette de toilette enfant 50x100cm Brodée LOVELY BIRD";"Blanc";"50X100 cm";"11,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500165532.aspx?docid=00000000000001";"Sensei";"Serviette de toilette enfant 50x100cm Brodée LOVELY BIRD";"Rose Indien";"50X100 cm";"11,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500169930.aspx?docid=00000000000001";"Sensei";"Serviette de toilette enfant 50x90cm en forme d&#39;OURS";"Ecru";"50X90 cm";"11,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500493538.aspx?docid=00000000000001";"The French Talents";"Grande cape de bain éponge OURSONS";"Blanc";"70X70 cm";"17,50 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500493538.aspx?docid=00000000000001";"The French Talents";"Grande cape de bain éponge OURSONS";"Blanc";"100X100 cm";"19,50 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500483979.aspx?docid=00000000000001";"The French Talents";"Sortie de bain bébé en éponge bio Pirate";"Blanc";"70X70 cm";"35,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500315693.aspx?docid=00000000000001";"CTI";"Drap de plage rose MINNIE MOUSE 100% coton";"Rose";"70X120 cm";"17,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-504030564.aspx?docid=00000000000001";"Sensei";"Serviette de toilette 50X100cm Brodée 500 gr/m² DRAGON BOY";"Orange";"50X100 cm";"15,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-502041545.aspx?docid=00000000000001";"Lamaloli";"Drap de Plage CHICA VAMPIRO 50% Coton et 50% Polyester 300gr/m2";"Rose";"70X120 cm";"12,95 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500662024.aspx?docid=00000000000001";"Groupe ITC";"Serviette De Bain Le Jardin D&#39;ombeline";"Multicolore";"50X100 cm";"25,20 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500661939.aspx?docid=00000000000001";"Groupe ITC";"Serviette De Bain Comme Un Nuage Blanc";"Blanc";"50X100 cm";"25,20 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500316921.aspx?docid=00000000000001";"CTI";"Drap de plage rose SMILEY WORLD 100% coton";"Rose";"75X150 cm";"25,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500661935.aspx?docid=00000000000001";"Groupe ITC";"Champions Serviette";"Gris";"50X100 cm";"24,89 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-503678123.aspx?docid=00000000000001";"Groupe ITC";"Serviette De Bain Colibri Rose";"Rose";"50X100 cm";"12,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-503678114.aspx?docid=00000000000001";"Groupe ITC";"Serviette De Bain Chasse Neige Bleu";"Bleu";"50X100 cm";"12,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500762059.aspx?docid=00000000000001";"CTI";"drap de plage  075X150 cm HELLO KITTY 100% coton";"Rose";"75X150 cm";"18,75 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500746331.aspx?docid=00000000000001";"CTI";"Drap de plage 085x160 cm ALL BLACKS 100% coton";"Noir";"85X160 cm";"17,40 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500315690.aspx?docid=00000000000001";"CTI";"Drap de plage rouge CARS 100% coton";"Rouge";"70X120 cm";"17,00 €";"En stock."
