"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-350014856.aspx?docid=00000000000001";"La Redoute";"Serviette éponge ANJO, 100% coton";"Bleu washed";"50 x 100 cm";"12,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-350014870.aspx?docid=00000000000001";"La Redoute";"Serviette d&#39;invité éponge ANJO, 100% coton";"Bleu washed";"30 x 50 cm";"5,84 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006493.aspx?docid=00000000000001";"Liou";"Serviette de bain brodée Grand Hôtel";"Blanc";"50X100 cm";"18,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006493.aspx?docid=00000000000001";"Liou";"Serviette de bain brodée Grand Hôtel";"Blanc";"70X140 cm";"29,40 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500006495.aspx?docid=00000000000001";"Liou";"Serviette de bain brodée Versailles";"Noir";"50X100 cm";"18,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500028044.aspx?docid=00000000000001";"Blanc Cerise";"Serviette de toilette - coton jacquard 350g/m² - couleur perle";"Gris";"50X100 cm";"9,60 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500065498.aspx?docid=00000000000001";"Toilinux";"Serviette de toilette - 50 x 90 cm - Rouge";"Rouge";"30X50 cm";"6,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500065503.aspx?docid=00000000000001";"Toilinux";"Serviette de bain - 70 x 130 cm - Rouge";"Rouge";"30X50 cm";"10,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500078385.aspx?docid=00000000000001";"Home Bain";"Serviette de toilette 50x100cm uni 550gr/m² Coton";"Anthracite";"50X100 cm";"8,72 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500078385.aspx?docid=00000000000001";"Home Bain";"Serviette de toilette 50x100cm uni 550gr/m² Coton";"Blanc";"50X100 cm";"8,72 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500078385.aspx?docid=00000000000001";"Home Bain";"Serviette de toilette 50x100cm uni 550gr/m² Coton";"Bleu Jean";"50X100 cm";"8,72 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500078385.aspx?docid=00000000000001";"Home Bain";"Serviette de toilette 50x100cm uni 550gr/m² Coton";"Bordeaux";"50X100 cm";"8,72 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500078385.aspx?docid=00000000000001";"Home Bain";"Serviette de toilette 50x100cm uni 550gr/m² Coton";"Bouton D&#39;Or";"50X100 cm";"8,72 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500078385.aspx?docid=00000000000001";"Home Bain";"Serviette de toilette 50x100cm uni 550gr/m² Coton";"Chardonnay";"50X100 cm";"8,72 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500078385.aspx?docid=00000000000001";"Home Bain";"Serviette de toilette 50x100cm uni 550gr/m² Coton";"Ciel";"50X100 cm";"8,72 €";"En stock."
