"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-350014856.aspx?docid=00000000000001";"La Redoute";"Serviette éponge ANJO, 100% coton";"Bleu washed";"50 x 100 cm";"12,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-350014870.aspx?docid=00000000000001";"La Redoute";"Serviette d&#39;invité éponge ANJO, 100% coton";"Bleu washed";"30 x 50 cm";"5,84 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500785802.aspx?docid=00000000000001";"La Redoute";"Serviette personnalisable + gant de toilette 500 g";"Beige Ficelle";"50X100 cm";"11,04 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500785802.aspx?docid=00000000000001";"La Redoute";"Serviette personnalisable + gant de toilette 500 g";"Bleu Canard";"50X100 cm";"11,04 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500785802.aspx?docid=00000000000001";"La Redoute";"Serviette personnalisable + gant de toilette 500 g";"Bleu Nautique";"50X100 cm";"11,89 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500785802.aspx?docid=00000000000001";"La Redoute";"Serviette personnalisable + gant de toilette 500 g";"Groseille";"50X100 cm";"11,04 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500785802.aspx?docid=00000000000001";"La Redoute";"Serviette personnalisable + gant de toilette 500 g";"Rose Clair";"50X100 cm";"11,04 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500785802.aspx?docid=00000000000001";"La Redoute";"Serviette personnalisable + gant de toilette 500 g";"Vert D&#39;Eau";"50X100 cm";"11,04 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500785802.aspx?docid=00110000000001";"La Redoute";"Serviette personnalisable + gant de toilette 500 g";"Blanc";"50X100 cm";"11,04 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500785802.aspx?docid=00110000000001";"La Redoute";"Serviette personnalisable + gant de toilette 500 g";"Gris Chartreux";"50X100 cm";"11,04 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500785802.aspx?docid=00110000000001";"La Redoute";"Serviette personnalisable + gant de toilette 500 g";"Gris Foncé";"50X100 cm";"11,04 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500785802.aspx?docid=00110000000001";"La Redoute";"Serviette personnalisable + gant de toilette 500 g";"Noir";"50X100 cm";"11,04 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500785802.aspx?docid=00110000000001";"La Redoute";"Serviette personnalisable + gant de toilette 500 g";"Prune";"50X100 cm";"11,04 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500785802.aspx?docid=00110000000001";"La Redoute";"Serviette personnalisable + gant de toilette 500 g";"Rouge Carmin";"50X100 cm";"11,04 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500785802.aspx?docid=00110000000001";"La Redoute";"Serviette personnalisable + gant de toilette 500 g";"Turquoise";"50X100 cm";"11,04 €";"En stock."
