"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-500416265.aspx?docid=00000000000001";"La Redoute";"Store enrouleur tamisant petite largeur, 7 coloris";"Beige Mastic";"170X32 cm";"11,89 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500416265.aspx?docid=00000000000001";"La Redoute";"Store enrouleur tamisant petite largeur, 7 coloris";"Beige Mastic";"170X37 cm";"15,39 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500416265.aspx?docid=00000000000001";"La Redoute";"Store enrouleur tamisant petite largeur, 7 coloris";"Beige Mastic";"170X42 cm";"17,49 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500416265.aspx?docid=00000000000001";"La Redoute";"Store enrouleur tamisant petite largeur, 7 coloris";"Beige Sable";"170X32 cm";"11,89 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500416265.aspx?docid=00000000000001";"La Redoute";"Store enrouleur tamisant petite largeur, 7 coloris";"Beige Sable";"170X37 cm";"15,39 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500416265.aspx?docid=00000000000001";"La Redoute";"Store enrouleur tamisant petite largeur, 7 coloris";"Beige Sable";"170X42 cm";"17,49 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500416265.aspx?docid=00000000000001";"La Redoute";"Store enrouleur tamisant petite largeur, 7 coloris";"Blanc";"170X32 cm";"11,89 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500416265.aspx?docid=00000000000001";"La Redoute";"Store enrouleur tamisant petite largeur, 7 coloris";"Blanc";"170X37 cm";"15,39 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500416265.aspx?docid=00000000000001";"La Redoute";"Store enrouleur tamisant petite largeur, 7 coloris";"Blanc";"170X42 cm";"17,49 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500416265.aspx?docid=00000000000001";"La Redoute";"Store enrouleur tamisant petite largeur, 7 coloris";"Bleu Marine";"170X32 cm";"11,89 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500416265.aspx?docid=00000000000001";"La Redoute";"Store enrouleur tamisant petite largeur, 7 coloris";"Bleu Marine";"170X37 cm";"15,39 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500416265.aspx?docid=00000000000001";"La Redoute";"Store enrouleur tamisant petite largeur, 7 coloris";"Bleu Marine";"170X42 cm";"17,49 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500416265.aspx?docid=00000000000001";"La Redoute";"Store enrouleur tamisant petite largeur, 7 coloris";"Gris";"170X32 cm";"11,89 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500416265.aspx?docid=00000000000001";"La Redoute";"Store enrouleur tamisant petite largeur, 7 coloris";"Gris";"170X37 cm";"15,39 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500416265.aspx?docid=00000000000001";"La Redoute";"Store enrouleur tamisant petite largeur, 7 coloris";"Gris";"170X42 cm";"17,49 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500416265.aspx?docid=00000000000001";"La Redoute";"Store enrouleur tamisant petite largeur, 7 coloris";"Marron Taupe";"170X32 cm";"11,89 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500416265.aspx?docid=00000000000001";"La Redoute";"Store enrouleur tamisant petite largeur, 7 coloris";"Marron Taupe";"170X37 cm";"15,39 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500416265.aspx?docid=00000000000001";"La Redoute";"Store enrouleur tamisant petite largeur, 7 coloris";"Marron Taupe";"170X42 cm";"17,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Bleu Ardoise";"170X107 cm";"26,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Bleu Ardoise";"170X52 cm";"18,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Bleu Ardoise";"170X62 cm";"19,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Bleu Ardoise";"170X67 cm";"21,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Bleu Ardoise";"170X87 cm";"22,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Bleu Canard";"170X107 cm";"26,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Bleu Canard";"170X52 cm";"18,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Bleu Canard";"170X62 cm";"19,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Bleu Canard";"170X67 cm";"21,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Bleu Canard";"170X87 cm";"22,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Noir";"170X107 cm";"26,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Noir";"170X52 cm";"18,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Noir";"170X62 cm";"19,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Noir";"170X67 cm";"21,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Noir";"170X87 cm";"22,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Rose";"170X107 cm";"26,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Rose";"170X52 cm";"18,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Rose";"170X62 cm";"19,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Rose";"170X67 cm";"21,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Rose";"170X87 cm";"22,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Rouge";"170X107 cm";"26,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Rouge";"170X52 cm";"18,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Rouge";"170X62 cm";"19,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Rouge";"170X67 cm";"21,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Rouge";"170X87 cm";"22,49 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00110000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Beige Mastic";"170X107 cm";"26,50 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00110000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Beige Mastic";"170X52 cm";"19,00 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00110000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Beige Mastic";"170X62 cm";"20,00 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00110000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Beige Mastic";"170X67 cm";"21,50 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00110000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Beige Mastic";"170X87 cm";"22,50 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00110000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Blanc";"170X107 cm";"26,50 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00110000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Blanc";"170X52 cm";"19,00 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00110000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Blanc";"170X62 cm";"20,00 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00110000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Blanc";"170X67 cm";"21,50 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00110000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Blanc";"170X87 cm";"22,50 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00110000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Gris Souris";"170X107 cm";"26,50 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00110000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Gris Souris";"170X52 cm";"19,00 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00110000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Gris Souris";"170X62 cm";"20,00 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00110000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Gris Souris";"170X67 cm";"21,50 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00110000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Gris Souris";"170X87 cm";"22,50 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00110000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Marron Taupe";"170X107 cm";"26,50 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00110000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Marron Taupe";"170X52 cm";"19,00 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00110000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Marron Taupe";"170X62 cm";"20,00 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00110000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Marron Taupe";"170X67 cm";"21,50 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00110000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Marron Taupe";"170X87 cm";"22,50 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00110000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Violet Violine";"170X107 cm";"26,50 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00110000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Violet Violine";"170X52 cm";"19,00 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00110000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Violet Violine";"170X62 cm";"20,00 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00110000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Violet Violine";"170X67 cm";"21,50 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500416270.aspx?docid=00110000000001";"La Redoute";"Store enrouleur occultant grande largeur";"Violet Violine";"170X87 cm";"22,50 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500774310.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant petite largeur";"Beige Mastic";"170X32 cm";"12,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500774310.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant petite largeur";"Beige Mastic";"170X37 cm";"14,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500774310.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant petite largeur";"Beige Mastic";"170X42 cm";"17,49 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500774310.aspx?docid=00000000000001";"La Redoute";"Store enrouleur occultant petite largeur";"Blanc";"170X32 cm";"12,99 €";"En stock."
