"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
"http://www.laredoute.fr/ppdp/prod-500786930.aspx?docid=00000000000001";"La Redoute";"Tablier imprimé pois, Garden Party";"Rouge/Blanc";"Taille Unique";"6,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500786930.aspx?docid=00000000000001";"La Redoute";"Tablier imprimé pois, Garden Party";"Gris/Blanc";"Taille Unique";"6,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500786930.aspx?docid=00000000000001";"La Redoute";"Tablier imprimé pois, Garden Party";"Violet/Blanc";"Taille Unique";"6,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500786930.aspx?docid=00000000000001";"La Redoute";"Tablier imprimé pois, Garden Party";"Marron Taupe/Blanc";"Taille Unique";"6,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Noir/Or";"10€";"10,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Noir/Or";"25€";"25,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Noir/Or";"30€";"30,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Noir/Or";"50€";"50,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Noir/Or";"100€";"100,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Noir/Or";"200€";"200,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Noir/Or";"250€";"250,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Rouge";"10€";"10,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Rouge";"25€";"25,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Rouge";"30€";"30,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Rouge";"50€";"50,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Rouge";"100€";"100,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Rouge";"200€";"200,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Rouge";"250€";"250,00 €";"En stock."
