"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-324515216.aspx?docid=00000000000001";"La Redoute";"Taie de traversin pur lin lavé, Elina";"Blanc";"140 cm";"29,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324515216.aspx?docid=00000000000001";"La Redoute";"Taie de traversin pur lin lavé, Elina";"Blanc";"160 cm";"39,00 €";""
1;"http://www.laredoute.fr/ppdp/prod-324515216.aspx?docid=00000000000001";"La Redoute";"Taie de traversin pur lin lavé, Elina";"Blanc";"90 cm";"19,00 €";""
1;"http://www.laredoute.fr/ppdp/prod-324515216.aspx?docid=00000000000001";"La Redoute";"Taie de traversin pur lin lavé, Elina";"bleu nuit";"140 cm";"21,75 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324515216.aspx?docid=00000000000001";"La Redoute";"Taie de traversin pur lin lavé, Elina";"bleu nuit";"160 cm";"27,50 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324515216.aspx?docid=00000000000001";"La Redoute";"Taie de traversin pur lin lavé, Elina";"bleu nuit";"90 cm";"14,25 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324515216.aspx?docid=00000000000001";"La Redoute";"Taie de traversin pur lin lavé, Elina";"gris anthracite";"140 cm";"29,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324515216.aspx?docid=00000000000001";"La Redoute";"Taie de traversin pur lin lavé, Elina";"gris anthracite";"160 cm";"39,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324515216.aspx?docid=00000000000001";"La Redoute";"Taie de traversin pur lin lavé, Elina";"gris anthracite";"90 cm";"19,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324515216.aspx?docid=00000000000001";"La Redoute";"Taie de traversin pur lin lavé, Elina";"gris perle";"140 cm";"29,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-324515216.aspx?docid=00000000000001";"La Redoute";"Taie de traversin pur lin lavé, Elina";"gris perle";"160 cm";"39,00 €";""
1;"http://www.laredoute.fr/ppdp/prod-324515216.aspx?docid=00000000000001";"La Redoute";"Taie de traversin pur lin lavé, Elina";"gris perle";"90 cm";"19,00 €";"En stock."
