"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-500774124.aspx?docid=00020000000001";"La Redoute";"Tapis de bain, 1100 g/m², Qualité Best";"Bleu Canard";"60X60 cm";"8,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500774124.aspx?docid=00020000000001";"La Redoute";"Tapis de bain, 1100 g/m², Qualité Best";"Ecru";"40X50 cm";"4,99 €";""
1;"http://www.laredoute.fr/ppdp/prod-500774124.aspx?docid=00020000000001";"La Redoute";"Tapis de bain, 1100 g/m², Qualité Best";"Ecru";"50X70 cm";"8,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500774124.aspx?docid=00020000000001";"La Redoute";"Tapis de bain, 1100 g/m², Qualité Best";"Ecru";"60X60 cm";"8,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500774124.aspx?docid=00020000000001";"La Redoute";"Tapis de bain, 1100 g/m², Qualité Best";"Rose Groseille";"40X50 cm";"4,99 €";""
1;"http://www.laredoute.fr/ppdp/prod-500774124.aspx?docid=00020000000001";"La Redoute";"Tapis de bain, 1100 g/m², Qualité Best";"Rose Groseille";"50X70 cm";"8,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500774124.aspx?docid=00020000000001";"La Redoute";"Tapis de bain, 1100 g/m², Qualité Best";"Rose Groseille";"60X60 cm";"8,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500774124.aspx?docid=00020000000001";"La Redoute";"Tapis de bain, 1100 g/m², Qualité Best";"Rose Parme";"40X50 cm";"4,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500774124.aspx?docid=00020000000001";"La Redoute";"Tapis de bain, 1100 g/m², Qualité Best";"Rose Parme";"50X70 cm";"8,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500774124.aspx?docid=00020000000001";"La Redoute";"Tapis de bain, 1100 g/m², Qualité Best";"Rose Parme";"60X100 cm";"11,99 €";""
1;"http://www.laredoute.fr/ppdp/prod-500774124.aspx?docid=00020000000001";"La Redoute";"Tapis de bain, 1100 g/m², Qualité Best";"Vert Tilleul";"40X50 cm";"4,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500774124.aspx?docid=00020000000001";"La Redoute";"Tapis de bain, 1100 g/m², Qualité Best";"Vert Tilleul";"50X70 cm";"7,20 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500774124.aspx?docid=00020000000001";"La Redoute";"Tapis de bain, 1100 g/m², Qualité Best";"Vert Tilleul";"60X60 cm";"7,20 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785701.aspx?docid=00020000000001";"La Redoute";"Tapis de bain 700 g/m²";"Bleu Lagon";"40X50 cm";"3,20 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785701.aspx?docid=00020000000001";"La Redoute";"Tapis de bain 700 g/m²";"Bleu Lagon";"50X70 cm";"5,60 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785701.aspx?docid=00020000000001";"La Redoute";"Tapis de bain 700 g/m²";"Bleu Lagon";"60X100 cm";"7,20 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785701.aspx?docid=00020000000001";"La Redoute";"Tapis de bain 700 g/m²";"Bleu Lagon";"60X60 cm";"5,60 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785701.aspx?docid=00020000000001";"La Redoute";"Tapis de bain 700 g/m²";"Jaune Clair";"40X50 cm";"3,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785701.aspx?docid=00020000000001";"La Redoute";"Tapis de bain 700 g/m²";"Jaune Clair";"50X70 cm";"6,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785701.aspx?docid=00020000000001";"La Redoute";"Tapis de bain 700 g/m²";"Jaune Clair";"60X100 cm";"8,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785701.aspx?docid=00020000000001";"La Redoute";"Tapis de bain 700 g/m²";"Jaune Clair";"60X60 cm";"6,99 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500785701.aspx?docid=00020000000001";"La Redoute";"Tapis de bain 700 g/m²";"Orange";"40X50 cm";"3,20 €";"En stock."
