"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
"http://www.laredoute.fr/ppdp/prod-500788737.aspx?docid=00000000000001";"La Redoute";"Torchon Vichy, pur coton tissé-teint, (lot de 3),";"Gris/Blanc";"Taille Unique";"6,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500788737.aspx?docid=00000000000001";"La Redoute";"Torchon Vichy, pur coton tissé-teint, (lot de 3),";"Bleu-Blanc";"Taille Unique";"6,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500788737.aspx?docid=00000000000001";"La Redoute";"Torchon Vichy, pur coton tissé-teint, (lot de 3),";"Rouge/Blanc";"Taille Unique";"6,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500788737.aspx?docid=00110000000001";"La Redoute";"Torchon Vichy, pur coton tissé-teint, (lot de 3),";"Marron Taupe/Blanc";"Taille Unique";"6,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500786828.aspx?docid=00000000000001";"La Redoute";"Torchon à pois pur coton, (lot de 3),GARDEN-PARTY";"Gris/Blanc";"Taille Unique";"6,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500786828.aspx?docid=00000000000001";"La Redoute";"Torchon à pois pur coton, (lot de 3),GARDEN-PARTY";"Marron Taupe/Blanc";"Taille Unique";"6,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500786828.aspx?docid=00000000000001";"La Redoute";"Torchon à pois pur coton, (lot de 3),GARDEN-PARTY";"Rouge/Blanc";"Taille Unique";"6,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500786828.aspx?docid=00000000000001";"La Redoute";"Torchon à pois pur coton, (lot de 3),GARDEN-PARTY";"Violet/Blanc";"Taille Unique";"6,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500789666.aspx?docid=00000000000001";"La Redoute";"Torchons métis lin/coton (lot de 6), Colas";"Bleu/Rouge";"LOT DE 6";"24,49 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500787022.aspx?docid=00000000000001";"La Redoute";"Essuie-mains en éponge";"Rouge";"Taille Unique";"9,74 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500787022.aspx?docid=00000000000001";"La Redoute";"Essuie-mains en éponge";"Beige Ficelle";"Taille Unique";"9,74 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500787022.aspx?docid=00000000000001";"La Redoute";"Essuie-mains en éponge";"Gris Anthracite";"Taille Unique";"9,74 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500787022.aspx?docid=00000000000001";"La Redoute";"Essuie-mains en éponge";"Violet";"Taille Unique";"9,74 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500787022.aspx?docid=00000000000001";"La Redoute";"Essuie-mains en éponge";"Noir";"Taille Unique";"9,74 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500787022.aspx?docid=00000000000001";"La Redoute";"Essuie-mains en éponge";"Blanc Ivoire";"Taille Unique";"9,74 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500787022.aspx?docid=00000000000001";"La Redoute";"Essuie-mains en éponge";"Orange Cuit";"Taille Unique";"9,74 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500787022.aspx?docid=00000000000001";"La Redoute";"Essuie-mains en éponge";"Vert Kiwi";"Taille Unique";"8,44 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500787022.aspx?docid=00000000000001";"La Redoute";"Essuie-mains en éponge";"Taupe";"Taille Unique";"9,74 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500789265.aspx?docid=00000000000001";"La Redoute";"Torchons nid d&#39;abeille (lot de 3)";"Blanc/Gris";"Taille Unique";"13,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500787121.aspx?docid=00000000000001";"La Redoute";"Torchons rayés tissés teints (lot de 2)";"Gris";"Taille Unique";"9,74 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500787121.aspx?docid=00000000000001";"La Redoute";"Torchons rayés tissés teints (lot de 2)";"Vert Kiwi";"Taille Unique";"10,39 €";""
"http://www.laredoute.fr/ppdp/prod-500787121.aspx?docid=00000000000001";"La Redoute";"Torchons rayés tissés teints (lot de 2)";"Rouge";"Taille Unique";"9,74 €";""
"http://www.laredoute.fr/ppdp/prod-500788791.aspx?docid=00000000000001";"La Redoute";"Torchons à carreaux tissés teints (lot de 2)";"Vert Kiwi";"Taille Unique";"9,09 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500788791.aspx?docid=00000000000001";"La Redoute";"Torchons à carreaux tissés teints (lot de 2)";"Beige Ficelle";"Taille Unique";"9,74 €";""
"http://www.laredoute.fr/ppdp/prod-500788791.aspx?docid=00000000000001";"La Redoute";"Torchons à carreaux tissés teints (lot de 2)";"Rouge";"Taille Unique";"9,09 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500787678.aspx?docid=00000000000001";"La Redoute";"Torchons nid d&#39;abeille tissés teints (lot de 2)";"Gris";"Taille Unique";"10,39 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500787678.aspx?docid=00000000000001";"La Redoute";"Torchons nid d&#39;abeille tissés teints (lot de 2)";"Rouge";"Taille Unique";"10,39 €";""
"http://www.laredoute.fr/ppdp/prod-500787678.aspx?docid=00000000000001";"La Redoute";"Torchons nid d&#39;abeille tissés teints (lot de 2)";"Beige Ficelle";"Taille Unique";"9,09 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500787678.aspx?docid=00000000000001";"La Redoute";"Torchons nid d&#39;abeille tissés teints (lot de 2)";"Vert Kiwi";"Taille Unique";"9,09 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500788937.aspx?docid=00000000000001";"La Redoute";"Torchons spécial verres (lot de 2)";"Rouge Cerise";"Taille Unique";"7,49 €";""
"http://www.laredoute.fr/ppdp/prod-500788937.aspx?docid=00000000000001";"La Redoute";"Torchons spécial verres (lot de 2)";"Gris Perle";"Taille Unique";"6,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500788937.aspx?docid=00000000000001";"La Redoute";"Torchons spécial verres (lot de 2)";"Gris Ardoise";"Taille Unique";"7,49 €";""
"http://www.laredoute.fr/ppdp/prod-500950839.aspx?docid=00000000000001";"La Redoute";"Torchons imprimés poules et carreaux assortis (lot";"Blanc/Rouge";"Taille Unique";"12,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500950855.aspx?docid=00000000000001";"La Redoute";"Torchons imprimés fouets et carreaux assortis (lot";"Blanc/Noir";"Taille Unique";"13,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500789206.aspx?docid=00000000000001";"La Redoute";"Torchon jacquard  rayé (lot de 6), MONTAGNE";"Rouge/Vert/Marron Fond Beige";"LOT DE 6";"16,79 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500789417.aspx?docid=00000000000001";"La Redoute";"Torchons jacquard pur coton, esprit chalet (lot de";"Rouge/Vert/Marron Fond Beige";"LOT DE 6";"18,19 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500789517.aspx?docid=00000000000001";"La Redoute";"Torchons essuie-verres en lin (lot de 2)";"Blanc/Rouge";"Taille Unique";"9,74 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500789199.aspx?docid=00000000000001";"La Redoute";"Torchons Essuie main à carreaux gaufrés (lot de 6)";"Rouge/Bleu/Vert";"Taille Unique";"19,59 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500995714.aspx?docid=00000000000001";"La Redoute";"Torchons rayés fluo en métis lin/coton (lot de 3)";"Lin";"LOT DE 3";"16,24 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500910852.aspx?docid=00000000000001";"La Redoute";"Torchons jacquard pied de poule (lot de 2)";"Gris";"Taille Unique";"12,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500910852.aspx?docid=00000000000001";"La Redoute";"Torchons jacquard pied de poule (lot de 2)";"Anis";"Taille Unique";"12,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500910852.aspx?docid=00000000000001";"La Redoute";"Torchons jacquard pied de poule (lot de 2)";"Bleu";"Taille Unique";"12,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500995619.aspx?docid=00000000000001";"La Redoute";"Torchons rayures tricolores, en pur coton nid d&#39;ab";"Blanc";"LOT DE 6";"20,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500995581.aspx?docid=00000000000001";"La Redoute";"Torchons blancs pur coton (lot de 6)";"Blanc";"LOT DE 6";"20,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500788822.aspx?docid=00000000000001";"La Redoute";"Essuies-mains éponge (lot de 6)";"Gris Foncé";"Taille Unique";"11,69 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500788822.aspx?docid=00000000000001";"La Redoute";"Essuies-mains éponge (lot de 6)";"Vert + Orange + Bleu";"Taille Unique";"9,89 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500788697.aspx?docid=00000000000001";"La Redoute";"Essuie-mains éponge tissé teint (lot de 6 ou 12)";"Vert + Orange + Bleu";"LOT DE 12";"21,99 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500788697.aspx?docid=00000000000001";"La Redoute";"Essuie-mains éponge tissé teint (lot de 6 ou 12)";"Vert + Orange + Bleu";"LOT DE 6";"13,74 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Noir/Or";"10€";"10,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Noir/Or";"25€";"25,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Noir/Or";"30€";"30,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Noir/Or";"50€";"50,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Noir/Or";"100€";"100,00 €";"En stock."
"http://www.laredoute.fr/ppdp/prod-500809322.aspx?docid=00110000000001";"La Redoute";"E-carte cadeau La Redoute";"Noir/Or";"200€";"200,00 €";"En stock."
