"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-500786828.aspx?docid=00000000000001";"La Redoute";"Torchon à pois pur coton, (lot de 3),GARDEN-PARTY";"Gris/Blanc";"Taille Unique";"6,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500786828.aspx?docid=00000000000001";"La Redoute";"Torchon à pois pur coton, (lot de 3),GARDEN-PARTY";"Marron Taupe/Blanc";"Taille Unique";"6,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500786828.aspx?docid=00000000000001";"La Redoute";"Torchon à pois pur coton, (lot de 3),GARDEN-PARTY";"Rouge/Blanc";"Taille Unique";"6,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500786828.aspx?docid=00000000000001";"La Redoute";"Torchon à pois pur coton, (lot de 3),GARDEN-PARTY";"Violet/Blanc";"Taille Unique";"6,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500787022.aspx?docid=00000000000001";"La Redoute";"Essuie-mains en éponge";"Beige Ficelle";"Taille Unique";"9,74 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500787022.aspx?docid=00000000000001";"La Redoute";"Essuie-mains en éponge";"Blanc Ivoire";"Taille Unique";"9,74 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500787022.aspx?docid=00000000000001";"La Redoute";"Essuie-mains en éponge";"Gris Anthracite";"Taille Unique";"9,74 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500787022.aspx?docid=00000000000001";"La Redoute";"Essuie-mains en éponge";"Noir";"Taille Unique";"9,74 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500787022.aspx?docid=00000000000001";"La Redoute";"Essuie-mains en éponge";"Orange Cuit";"Taille Unique";"9,74 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500787022.aspx?docid=00000000000001";"La Redoute";"Essuie-mains en éponge";"Rouge";"Taille Unique";"9,74 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500787022.aspx?docid=00000000000001";"La Redoute";"Essuie-mains en éponge";"Taupe";"Taille Unique";"9,74 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500787022.aspx?docid=00000000000001";"La Redoute";"Essuie-mains en éponge";"Vert Kiwi";"Taille Unique";"8,44 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500787022.aspx?docid=00000000000001";"La Redoute";"Essuie-mains en éponge";"Violet";"Taille Unique";"9,74 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500787121.aspx?docid=00000000000001";"La Redoute";"Torchons rayés tissés teints (lot de 2)";"Gris";"Taille Unique";"9,74 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500787121.aspx?docid=00000000000001";"La Redoute";"Torchons rayés tissés teints (lot de 2)";"Rouge";"Taille Unique";"9,74 €";""
1;"http://www.laredoute.fr/ppdp/prod-500787121.aspx?docid=00000000000001";"La Redoute";"Torchons rayés tissés teints (lot de 2)";"Vert Kiwi";"Taille Unique";"10,39 €";""
1;"http://www.laredoute.fr/ppdp/prod-500787678.aspx?docid=00000000000001";"La Redoute";"Torchons nid d&#39;abeille tissés teints (lot de 2)";"Beige Ficelle";"Taille Unique";"9,09 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500787678.aspx?docid=00000000000001";"La Redoute";"Torchons nid d&#39;abeille tissés teints (lot de 2)";"Gris";"Taille Unique";"10,39 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500787678.aspx?docid=00000000000001";"La Redoute";"Torchons nid d&#39;abeille tissés teints (lot de 2)";"Rouge";"Taille Unique";"10,39 €";""
1;"http://www.laredoute.fr/ppdp/prod-500787678.aspx?docid=00000000000001";"La Redoute";"Torchons nid d&#39;abeille tissés teints (lot de 2)";"Vert Kiwi";"Taille Unique";"9,09 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500788697.aspx?docid=00000000000001";"La Redoute";"Essuie-mains éponge tissé teint (lot de 6 ou 12)";"Vert + Orange + Bleu";"LOT DE 12";"21,99 €";"En stock."
