"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-500772473.aspx?docid=00000000000001";"La Redoute";"Voilage à nouettes";"Beige Taupe Clair";"180X135 cm";"10,19 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772473.aspx?docid=00000000000001";"La Redoute";"Voilage à nouettes";"Beige Taupe Clair";"260X135 cm";"13,79 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772473.aspx?docid=00000000000001";"La Redoute";"Voilage à nouettes";"Blanc Écru";"180X135 cm";"10,19 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772473.aspx?docid=00000000000001";"La Redoute";"Voilage à nouettes";"Blanc Écru";"260X135 cm";"13,79 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772473.aspx?docid=00000000000001";"La Redoute";"Voilage à nouettes";"Blanc";"180X135 cm";"10,19 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772473.aspx?docid=00000000000001";"La Redoute";"Voilage à nouettes";"Blanc";"260X135 cm";"13,79 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772473.aspx?docid=00000000000001";"La Redoute";"Voilage à nouettes";"Bleu Ciel";"180X135 cm";"10,19 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772473.aspx?docid=00000000000001";"La Redoute";"Voilage à nouettes";"Bleu Ciel";"260X135 cm";"13,79 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772473.aspx?docid=00000000000001";"La Redoute";"Voilage à nouettes";"Corail";"180X135 cm";"10,19 €";""
1;"http://www.laredoute.fr/ppdp/prod-500772473.aspx?docid=00000000000001";"La Redoute";"Voilage à nouettes";"Corail";"260X135 cm";"13,79 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772473.aspx?docid=00000000000001";"La Redoute";"Voilage à nouettes";"Gris Clair";"180X135 cm";"10,19 €";""
1;"http://www.laredoute.fr/ppdp/prod-500772473.aspx?docid=00000000000001";"La Redoute";"Voilage à nouettes";"Gris Clair";"260X135 cm";"13,79 €";""
1;"http://www.laredoute.fr/ppdp/prod-500772473.aspx?docid=00000000000001";"La Redoute";"Voilage à nouettes";"Gris Souris";"180X135 cm";"10,19 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772473.aspx?docid=00000000000001";"La Redoute";"Voilage à nouettes";"Gris Souris";"260X135 cm";"13,79 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772473.aspx?docid=00000000000001";"La Redoute";"Voilage à nouettes";"Jaune";"180X135 cm";"10,19 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772473.aspx?docid=00000000000001";"La Redoute";"Voilage à nouettes";"Jaune";"260X135 cm";"13,79 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772473.aspx?docid=00000000000001";"La Redoute";"Voilage à nouettes";"Rose Clair";"180X135 cm";"10,19 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-500772473.aspx?docid=00000000000001";"La Redoute";"Voilage à nouettes";"Rose Clair";"260X135 cm";"13,79 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772575.aspx?docid=00000000000001";"La Redoute";"Vitrage droit Morino";"Blanc Écru";"120X45 cm";"4,79 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772575.aspx?docid=00000000000001";"La Redoute";"Vitrage droit Morino";"Blanc Écru";"120X60 cm";"5,99 €";"En stock."
2;"http://www.laredoute.fr/ppdp/prod-500772575.aspx?docid=00000000000001";"La Redoute";"Vitrage droit Morino";"Blanc Écru";"160X45 cm";"5,99 €";"En stock."
